,리뷰,메뉴
49,친절하게 배달해주셔서 더맛있어요,누꼬진짬뽕（순살）/1
50,잘먹었습니다 감사합니다,B세트（후라이드＋양념치킨＋콜라1.25L）/1
51,서대문구에서 최고임 말이 필요없음,양념반＋간장반/1
52,"두마리세트~ 후라이드,매운양념 핵존맛. 늘 활짝웃는 미소로 배달해주시는 사장님 덕분에 더 기분좋고 맛있는 시간을 갖게됩니다~ 닭 자체가 좋아서 야들야들 너무 맛있어요 양념까지 싹싹들 헤치웠네요~ 잘 먹었습니다 ^^",G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
53,맛있어요 두마리세트 메뉴 완전강추~~,K세트（양념치킨＋마늘치킨＋콜라 1.25L）/1(추가 선택(떡 추가))
54,겉은 바삭 속은 촉촉 너무 맛있게 잘먹었습니다 감사합니다!!,순살후라이드반＋순살마늘반/1
55,시킬때마다 맛있어요 바삭바삭 꿀맛,후라이드반＋양념반/1
56,굿둣굿귯긋굿굿굿굿굿,B세트（후라이드＋양념치킨＋콜라1.25L）/1
57,따뜻하게 배달와서 너무 좋아요! 존맛탱,"C세트（후라이드＋간장치킨＋콜라1.25L）/1,코카콜라 1.25L/2"
58,항상 맛있게 먹고 있어요. 근데 튜립닭발 맛이 지난번 보다 약했어요... 지난번의 강렬한 맛을 원했는데.... 그래도 잘 먹었습니다.,"순살후라이드반＋순살양념반/1,튜립닭발/1"
59,맛있는데 너무너무매워요 ㅜ 심각해요 비율 잘못하신거아닌지.. 저엽떡 오리지날도그냥 막먹 거든요 ㅜ,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
60,배달비가없어 너무좋고 양념치킨의 원조는 페리카나죠~^^,후라이드반＋양념반/1
61,배달도 빨랐ㄱㅎ 맛있어요~~,양념반＋마늘반/1(추가／변경 선택(떡 추가))
62,항상 맛있어요 잘먹었습니다.,B세트（후라이드＋양념치킨＋콜라1.25L）/1
63,좀 맵지만 맛이 진짜 좋고 먹을 만해요~,누꼬진짬뽕（뼈있는치킨）/1
64,맛있어요~튀김옷이 굿!!! 배달도빨라요 친절하심,후라이드반＋양념반/1
65,"제가 집에 도착하는것보다 더 빨리 도착하셨는데 친절하게 전화도 해주시구, 역시 페리카나 양념은,, 진리입니다",후라이드반＋양념반/1(추가／변경 선택(콜라 1.25L로 변경))
66,28774맛있다요맛있다요 기름 나쁜것만 어쩌다가 안걸리면,B세트（후라이드＋양념치킨＋콜라1.25L）/1
67,맛있어용 떡 추가좋은것 같아용,후라이드반＋양념반/1(추가／변경 선택(떡 추가))
68,오늘도 잘 먹었습니다. 너무 친절하셔서 더 맛있게 느껴지는 것 같아요!,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
69,항상 맛있게 먹고있어요~,D세트（후라이드＋마늘치킨＋콜라1.25L）/1
