,리뷰,메뉴
39,1주일 안에 또 시켜먹움 밑에 리뷰 있을거에요ㅎㅎ 순살치킨치즈 물어보니깐 소스는 같은데 치즈가 맛을 중화시켜주는거래요. 저랑 같은 분 있으면 참고하세요! 그래서 앞으론 그냥 순살치킨 시켜먹게요 치킨 진짜 너무 맵지만 맛있음 하지만 다음날 피똥 5번 화장실ㅜㅜㅜ,순살땡초불닭＋계란찜/1
40,맜있게 맵고 저는 정말 맜있게 먹었네요 ㅎㅎ,"무뼈닭발＋계란찜/1,김가루밥/2"
41,"맛있어요. 닭발이랑 순살 불닭 먹어봤는데, 순살불닭이 너무 매웠어서 치즈 들어간거로 시켰는데 위에 치즈만 올려주는게 아니고 소스 자체가 다른가봐요ㅜㅜ 달고 그냥 일반 순살양념치킨 같았어요. 다음에는 확실히 물어보고 시켜야 겠어요! 그래도 순살치즈도 맛있긴했어요!",순살치즈불닭＋계란찜/1
42,맛있네요!!! 젖가락과 숟가락을 안챙겨 주시는거 빼곤요,"무뼈닭발＋계란찜/1,김가루밥/1"
43,치킨이 작긴했는데 완전 맛있었어요^^ 닭발도 맛있었구요~ 다음에 또 주문할께요,세트메뉴2（무뼈닭발＋옛날치킨）/1
44,역시 짱!! 맛있습니당!,세트메뉴5（불족발＋옛날치킨）/1
45,아앙앙 배부르고 너무 매우ㅜ요 ㅡㅠㅠㅠ,"오돌뼈＋계란찜/1,김가루밥/5"
46,항상 시켜먹는데 진짜 맵고 맛있습니다,무뼈닭발＋계란찜/1
47,맛도 좋고 양도 괜찮은데 목요일 저녁인데도 배달이 40분 이상 걸려서 모임중에 못 먹을뻔 했어요. 배달료 없어 좋긴한데 좀 빨리 왔으면 좋겠어요,
48,언제나 맛있게 먹고있습니다! 야식으로 짱짱!,세트메뉴5（불족발＋옛날치킨）/1
49,맛있습니다.. 특히 식으면 더 맛있는 닭발이에요~~~,세트메뉴1（불닭발＋옛날치킨）/1
50,매운맛에 자주 먹어요,심청이세트5（불닭발＋소금구이똥집＋계란찜）/1(불닭발 무뼈닭발로 변경 선택(무뼈닭발로 변경))
