,리뷰,메뉴
141,뭘 먹어봐도 레드윙이 최고인듯,레드윙/1
142,허니콤보 너무 맛있어요~,"허니콤보/1(세트 선택(선택안함)),무우/1"
143,말이 필요없습니다.,레드윙/1(세트 선택(선택안함))
144,맛있습니다..........,교촌윙/1
145,항상먹는 치킨. 교촌윙 반반 짱입니다,반반윙/2
146,항상 맛있습니다~!!,"교촌스틱/1(세트 선택(웨지감자（세트）)),교촌윙/1"
147,맛있게 잘 먹었습니다!,반반오리지날/1
148,역시교촌!!!!!!,"교촌오리지날/1(세트 선택(선택안함)),레드윙/1(세트 선택(선택안함))"
149,배송이 진짜 빠르고 너무 맛있어요!,교촌윙/1(세트 선택(선택안함))
150,너무나 맛있었어요🍗🍗,허니콤보/1(세트 선택(웨지감자（세트）))
151,저희 가족이 맛있게 먹었네요,허니콤보/1
152,오랜만에 교촌 먹어봤어요 허니콤보..맛나네요 그런데 교촌은 웨지감자도 맛있는데 주문을 따로 할수가 없는가봐요 한참 찾다가 포기했어요 ~ㅜㅜ,허니콤보/1
153,믿먹허(믿고먹는허니콤보),허니콤보/1(세트 선택(웨지감자（세트）))
154,맛있어요.항상 먹는 반반윙~~ 오늘은 시간이 오래 걸리지 않았어요.,반반윙/1
155,맛있게 잘 먹었습니다~,허니콤보/1(세트 선택(선택안함))
156,맛나용___~~~~~~~~,"반반오리지날/1(세트 선택(허니순살[S])),레드디핑소스/1"
157,허니콤보 맛나요 담엔 순살로,"허니콤보/1,레드디핑소스/1,무우/1"
158,"맛, 양 최고점수 바로아래등급까지 줄 수 있을 듯 합니다.","교촌오리지날/1,허니콤보/1"
159,양도많고 만족합니다,허니콤보/1(세트 선택(선택안함))
160,지난주에 다른 지점 교촌에서 시켜먹고 맛있어서 여기서 시켰는데 뭐가 잘못된건지 치킨 자체가 너무 말라서 먹는데 이가 다 아프더라고요,교촌오리지날/1(세트 선택(선택안함))
161,항상 맛있게 먹고 있어요~,허니콤보/1(세트 선택(선택안함))
162,언제 먹어도 맛있어요~,허니콤보/1(세트 선택(선택안함))
163,맛있게 잘먹었어요!!,허니콤보/1(세트 선택(웨지감자（세트）))
164,말이 필요한가요 레드윙은 진리죠ㅋ,레드윙/1(세트 선택(선택안함))
165,콤본데 윙 봉 다리 말고 다른 부위가 들어있어서 별로였고 튀김을 열어보면 살이 텅텅 비어있고 퍽퍽해서 진짜 별로였어요,허니콤보/1(세트 선택(선택안함))
166,아주 아주 아주 아주 굿굿굿굿 짱짱짱맨,허니오리지날/1
167,교촌은 사랑입니다 하하,레드윙/1(세트 선택(선택안함))
168,굳굳 허니콤보~~~,허니콤보/1(세트 선택(선택안함))
169,허니콤보 너무 맛있어요 ㅠㅠ,허니콤보/1
170,넘맛있고넘느끼해용 좋아용,"허니콤보/1,레드디핑소스/1"
171,배달도 빠르고 맛있습니다,반반콤보/1(세트 선택(웨지감자（세트）))
172,배달도 시간안에 왔구 너무 맛있어여 ~~,반반오리지날/1
173,허니콤보 맛있네요~~,허니콤보/1
174,항상여기서시켜먹어요,허니콤보/1
175,교촌이야 말할 필요없이 넘 맛있죠~ 살살치킨 처음 먹어보았는데 아이들 먹기 괜찮은거 같아요. 소스를 3가지 주시니까 찍어먹어서 안 물리고 좋았어요~,"레드콤보/1,허니콤보/1(세트 선택(선택안함)),살살치킨/1"
176,맛있고 생각보다 빠르게 배송받았어요,"허니콤보/1,레드디핑소스/1"
177,겁나 맛있다~ 말해뭐해요 존맛탱,반반콤보/1
178,최고불친절.장사좀된다고바른인성으로장사하시길,허니콤보/1(세트 선택(선택안함))
179,저녁시간엔 항상 바빠서 1시간 이상 걸리지만 맛있어여!!,허니콤보/1(세트 선택(선택안함))
180,배달은 정확했으나 허니소스가 제대로 안발려있네요. 소스 너무 아끼셨어요....,허니오리지날/1(세트 선택(선택안함))
181,..........,반반콤보/1(세트 선택(선택안함))
182,"배달, 맛 모구 만족합니다. 또 시켜먹을거 같네요",반반오리지날/1(세트 선택(선택안함))
