,리뷰,메뉴
39,치킨쿠폰이 와서 시켜먹어봤는데 넘나 맛있너용~~제 입맛엔 뭔가 더 짜고 자극적이엇으면싶은뎈ㅋㅋ요새 다들 싱겁게 먹더라구영 ㅜㅜ으흑흑흑 그래두 맛낫어요~~또시켜먹을게용♥ 간장치킨 최고!!!!!,델리（간장）치킨/1(추가 선택(순살로 변경))
40,20분만에 왓네요 대박쓰,크리스피치킨/1
41,바삭바삭하고 맛있네요~~,크리스피치킨/1
42,집에서 가까워서 그런지 배달 엄청 빠르네요 :) 부어치킨 처음 시켰는데 맛있어요! 바삭하고!!,크리스피치킨/1
43,바삭하고 기름도 깨끗한거 쓰시는지 향도 맛도 좋습니다. 시간 지나도 바삭하고 배달도 만족 합니다.,크리스피치킨/1
44,2번째 주문 바삭하고 닭이 커서 좋아요 자주 주문할게요!,크리스피치킨/1
45,바삭하고 맛있어요 근데 양은 그냥 보통 이에요,크리스피치킨/1
46,먼저 난지캠핑장에서 시켜먹었는데 배달 추가요금이 들어서 아쉬웠습니다. 그 이외에는 맛이나 양 모두 적당했구요. 난지캠핑장아니면 시켜먹기 좋습니다. 양념치킨 맛잇네요,세트1（크리스피＋양념치킨＋콜라 500ml）/1
47,파닭 맛나요 동네에 이런곳이 생겨서 좋습니다,파닭치킨/1
48,만족합니다 가성빕킹,크리스피치킨/1
49,배달 빠르고 닭도 아주 따끈따끈합니다. 잘 먹었습니다 사장님 번창하세요~,크리스피치킨/1
50,딱딱해서 입천장 다까졌네여 그래도 맛있습니다 추천,"크리스피치킨/1(추가 선택(순살로 변경)),양념 순한맛/2"
51,좀 딱딱했고 제대로 안익은듯 했어요,양념치킨/1
52,맛있고 좋네요 다음에도 ....,크리스피치킨/1
53,부어치킨 배달도되는줄몰랐는데 너무 좋아요! 믿고먹습니다,델리（간장）윙봉/1
54,"맛있긴 한데, 조금만 더 따뜻하게 오면 좋겠습니다.",크리스피치킨/1(추가 선택(순살로 변경))
55,배달 예정시간보다 10분이상 늦음. 배달요청사항에 치킨무 먹지 않으니 보내지밀라고 했는데 그냥 보냄. 주문서를 꼼꼼히 안보나봄. 맛은 괜찮으나 양념에서 독특한 향이남.,양념치킨/1(추가 선택(순살로 변경))
56,ㄷㅂ는ㅂㄷ니ㅜ극ㄴㄷㄴ,크리스피치킨/1
57,싸고 빠르고 맛있습니다 양념치킨 양념 아끼지 않으시고 푹 담궈서 옵니다 치밥으로 먹어도 좋아요,양념치킨/1
58,ㅅㄱㄴㄱㅈ븯ㄱㅈㅂㅈㅂ,크리스피치킨/1
