,리뷰,메뉴
42,제가 먹었던 자담중에 젤 괜찮은거 같아요 굳굳,"순살 치킨/1(맛 선택(후라이드＋양념),사이드메뉴 추가(콜라 사이즈 업))"
43,배달 매우 빠르네요 간장치킨이 괜찮아요,"순살 치킨/1(맛 선택(후라이드＋간장)),생맥주 1000cc/1"
44,배달도 빠르고 음식도 맛있었어요 맛있어요!,동물복지 후라이드 치킨/1(맛 선택(후라이드＋양념))
45,예상시간보다 일찍옴 여기 골뱅이 미치게맛있음,"골뱅이소면/1,윙봉스 후라이드치킨/1"
46,JMT 서비스까지 감사합니다!,"핫후라이드 치킨/1(사이드메뉴 추가(콜라 사이즈 업),맛 선택(동물복지 후라이드 한마리))"
47,처음인데 배달도 빠르고 맛있었어요~~,순살 치킨/1(맛 선택(간장＋마늘))
48,사진을 먹느냐고 못찍었네요^^저렴하고맛있게잘먹었어요^^,"동물복지 후라이드 치킨/1(사이드메뉴 추가(사이다 사이즈 업),맛 선택(후라이드＋간장))"
49,다음에도 또 시킬게요 맛잇어요ㅎ,순살 치킨/1(맛 선택(후라이드＋양념))
50,항상 맛있어요 마늘맛은 첨먹어봤는데 맛있네요!,"동물복지 후라이드 치킨/1(사이드메뉴 추가(콜라 사이즈 업),맛 선택(간장＋마늘))"
51,배달 예상시간은 35분이었는데.. 20분만에 왔네요.. 바삭해서 더 맛있음~,동물복지 후라이드 치킨/1(맛 선택(후라이드＋간장))
52,아..맛도 굉장하고 너무너무 맛있는데 매장에 강아지가ㅎㅎ..있더라고요,윙봉스 간장치킨/1
53,늘 맛있습니다 번창하세요,"순살 치킨/1(맛 선택(후라이드＋양념)),캔콜라/1"
54,엄청 맛있네요 처음 먹어보는데 반했습니다,"동물복지 후라이드 치킨/1(사이드메뉴 추가(콜라 사이즈 업,머스타드 추가))"
55,치킨이 바껴 배달이 늦긴했지만 잘먹었습니다 ㅎ,동물복지 후라이드 치킨/1(맛 선택(후라이드＋양념))
56,맛있어요 근데ㅜ 간장으로시켰는데 양념으로왔어요 이벤트해서 바쁘셨나보다하고먹음요,"동물복지 후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리,후라이드＋간장))"
57,벌써 3번째 주문이에요 언제나 존맛탱,핫후라이드 치킨/1(맛 선택(후라이드＋양념))
58,배달 빠르고 맛있어요,"순살파닭후라이드/1(사이드메뉴 추가(콜라 사이즈 업,양념소스 추가))"
59,배달도 빠르고 완전 맛있습이다~~,핫후라이드 치킨/1(맛 선택(간장＋양념))
60,살짝 퍽퍽했지만 맛있었어요!,텐더치킨/1(맛 선택(간장＋양념))
61,에빈트기간인데도 배달 30분정도만에왔어요 맛있어요,동물복지 후라이드 치킨/1
62,예상시간보다 훨씬 빨랐던 배달 굿굿 간장 먹었는데 맛있긴 한데 양념이 최고존엄... ㅠㅠ간장소스가 넘 적었어요 역시 자담이 이 일대 최고 치킨,순살 치킨/1(맛 선택(후라이드＋간장))
63,간장은 맛있게잘먹었습니다. 허니는 그렇게 단맛이 별로였습니다. 시간이좀지나니 기름맛으로멋는거같네요. 간장은맛있으니 추천,순살 치킨/1(맛 선택(간장＋허니버터))
64,비오는줄 모르고시켰는데 배달도 빨리오고 맛있었어요,동물복지 후라이드 치킨/1(맛 선택(후라이드＋양념))
65,닭도 크고 엄청 맛있어서 항상 믿고 주문해요!! 배달도 예상 시간보다 빨리 갖다주셔서 좋아요~,동물복지 후라이드 치킨/1(맛 선택(간장＋양념))
66,👍👍👍👍👍👍👍,순살 치킨/1(맛 선택(간장＋양념))
67,내가 제일 좋아하는 자담 허니버터는 처음먹어봤는데 애기들이 좋아할 단맛이군여ㅋㅋ 저는 간장양념이 더 맛있었습니다,순살 치킨/1(맛 선택(간장＋허니버터))
68,맛있어요맛있어요맛있어요,순살 치킨/1(맛 선택(간장＋허니버터))
