,리뷰,메뉴
44,후라이드+양념을 시켰는데 간장+양념이 왔어요 ..... 후라이드 말고는 안먹는 사람이 있었는데 ㅜㅜ 그래도 평가는 좋게 드립니다.. 다음엔 실수하지 말아주세요,두마리 순살（후라이드＋양념）/1
45,맛있네요~~~~~~~~~~~~~~,두마리 순살（양념＋간장）/1
46,콜라를 1.25짜리 시켰는데 안왔네요...맛과 양은 좋았습니다,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
47,맛있어요!!!!!!,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
48,늦은 새벽시간에 시켜봤는데 맛도 먹을만하구요 배달 시간도 적당하고 만족스러웠습니다!,두마리 순살（후라이드＋양념）/1
49,그냥 그럭저럭 그랬어요,두마리 순살（양념＋간장）/1
50,회사에서 치킨먹었어요 통큰두마리,"두마리 순살（후라이드＋간장）/1,콜라 1.25L/1"
51,맛있어요,두마리 순살（후라이드＋양념）/1
52,양이진짜만아요 두마리급인듯,순살반반치킨（후라이드반＋양념반）/1
53,소스를 반만발랐나요 후라이드치킨 소금없이먹는기분입니다,두마리 순살（양념＋간장）/1
54,새벽에 먹기딱좋아욯ㅎㅎㅎ,후라이드 치킨/1
55,맛있어요~ 다음에 또 배달해먹을게요,"두마리 순살（후라이드＋간장）/1,콜라 1.25L/1"
56,맛있었음. 순살인데 가끔 뼈같이 잘안씹히는게 나와서 약간 불편,두마리 순살（후라이드＋양념）/1
57,"머 양은많아요, 큰기대는하지말고요 간장치킨은절대시키지 마세요 진짜 간장을 뿌렸더라고요;",두마리 순살（양념＋간장）/1
58,배달진짜 심각하게 늦네요 재미로 챔피언스리그 보면서 먹는거 아니냐 했는데 진짜 챔피언스리그 보면서 먹겠네요 사실 1시간15분 지난 지금도 안왔는데 공중제비 두바퀴 돌고갑니다. 도대체가 하림닭 안쓰고 병아리부터 길러서 닭까지 키워서 잡는지 정말 오래걸리네요,두마리 순살（후라이드＋간장）/1
59,ㅡㅡ; 어찌된 일인지 간장에 소스가 하나도 안묻고 한쪽에 고여있네요 후라이드인줄... 집에 있는 치킨소스 같이 먹었네요 글고 콜라를 시켰는데 코카콜라랑 펩시 작은걸 같이주네요? 뭐지,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
60,오~~~처음 주문했는데 굿 굿 굿 느끼하지않고 담백하고 계속 손이가는 맛 이네요~^^ 순식간에 클리어 했네요~~^^,두마리 순살（후라이드＋양념）/1
61,휴.. 배달시간 50 분보다 35분 더 늦어 배송됐습니다 그사이 전화해 배달 출발 여부 확인 했고 이미 출발했다고 한지 20분 지나 배달이 되었고요. 배송이야 바뻐서 그럴 수 있다고 하지만 문제는 이렇게 미지근한 치킨은 처음 받아 봅니다. 거기에 콜라도 미지근... 원래 미지근한 것이 업체의 컨셉이라면 할말이 없지만 이건 배달 문제가 좀 크네요 대행업체를 쓰는건지 직접 직원이 배달하는건지 몰라도 이렇게 미지근하게 배달 되는 정도에 박스 배달 상태를 보아하니 여러개 동시에 수거해서 한번에 도는거 같은데 쩝 할말을 잃었습니다,두마리 순살（후라이드＋양념）/1
62,빠른배달과 가성비 최고..강추,반반치킨（후라이드반＋양념반）/1
63,잘먹엇습니다!!!!!!!!,두마리 순살（후라이드＋간장）/1
64,잘먹었어여 감사해여,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
65,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,순살반반치킨（후라이드반＋양념반）/1
66,양념 소스가 너무 달아서 치밥에 실패했습니다ㅠㅠㅠ 하지만 양념치킨 하나만 놓고 보면 징짜 맛있었어요. 양은 진짜 역대급!!진짜 배터질뻔 했어요,두마리 순살（후라이드＋양념）/1
67,꿀맛@@@@@@@@@@ 뜨끈뜨끈하게 오면 더 좋을듯함,순살반반치킨（후라이드반＋양념반）/1
68,양 개많고 배달이 좀 느릴쁀,두마리 순살（양념＋간장）/1
69,nicenicenicenice,두마리 순살（후라이드＋간장）/1
70,너무 멋있어서 지금 재주문 합니다 ~!,두마리 순살（후라이드＋간장）/1
71,너무 잘먹었습니다 감사해여,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
72,절대 먹지 마세요 건강에 안좋아요,후라이드 치킨/1
73,"순살이라 먹기좋았능데 튀김옷이너무두껍고, 살짝 안익은 부분들이 있네요ㅠ",두마리 순살（양념＋간장）/1
74,맛있어요!!양도좋어요,"두마리 순살（후라이드＋간장）/1,양념소스/1,콜라 1.25L/1"
75,비밀번호 적어놨는데 안열린다고 그래서 내려가 봤더니 없길래 다시 집와서 전화했는데 주소에 떡하니 400-49로 되어있는데 영수증에는 400-29로 되어있다며 배달하는분이 끝까지 본인 잘못 없다는듯 400-49로 와서 음식 주면서까지 영수증엔 29라고 되어있다고 하고 가네요;;근데 보통 영수증이 상자에 붙어있는데 영수증이 없어서 그 사람 말을 믿을수가 없네요. 처음 시킨 곳인데 배달때문에 별로 먹고싶지 않고 다신 안시킬거 같아요.,"두마리 순살（후라이드＋양념）/1,사이다 1.25mL/1"
76,통이 정말 큽니다.,두마리 순살（후라이드＋양념）/1
77,맛도 좋고 양도 많습니다!,"두마리 순살（후라이드＋간장）/1,양념소스/1,콜라 1.25L/1"
78,예전에는 안그랬는데 오늘은 정말 아니네요. 이렇게 기름지고 느끼하고 기름 씹어먹는듯한 느낌들게하는 치킨은 살면서 처음이네요. 많이 실망했습니다.,"두마리 순살（후라이드＋간장）/1,순살양념/1"
79,맛잇게무거쓰요오요ᄋᆞㅠ옵,두마리 순살（양념＋간장）/1
80,여기치킨 괜찮고 먹을만하고 좋음.,"순살반반치킨（후라이드반＋양념반）/1,사이다 500mL/1"
81,진짜 이렇게 맛없는 치킨도 오랫만이네 욕나온다,"두마리 순살（후라이드＋양념）/1,사이다 1.25mL/1"
82,양은 많지만 반 이상이 튀김옷에 역한 맛이 좀 남. 맛있다가도 많이 먹으면 토할것같음.. 대신 양은 진짜 많으니 사람많을 때 시키시길,두마리 순살（후라이드＋양념）/1
83,😐,두마리 순살（후라이드＋간장）/1
84,출출해서 형님과 일끝나고 치킨을시켜먹었는데 배달도 오래걸리고 닭상태가 와... 저거 왜찍었냐면 진심.. 심각한수준입니다.. 저희도음식점하는데 닭이무슨 재탕?아니면 오래된것마냥 비린맛?상한맛? 참고먹어보려고 했는데 먹다가토나올려해서 뱉고 바로보내버렸습니다. 기분좋게먹을려했는데 기분더러워졌네요 그리고 전화받는사람도 태도가 영 맨날닭가져오신다하는데....에휴,반반치킨（후라이드반＋양념반）/1
85,통큰이라는 이름만큼 양 진짜 많아요. 맛도 나쁘지않고 영업시간이 길어서 좋네요!,두마리 순살（양념＋간장）/1
86,ㅇ,순살반반치킨（후라이드반＋양념반）/1
87,말있너요나나구어타느,두마리 순살（후라이드＋간장）/1
88,배달 예상 시간보다 빠르구요 두마리 순살로 잘못주신건지 모르겠는데 양이 진짜 많네요....,순살반반치킨（후라이드반＋양념반）/1
89,잘 먹었어요~~ 다음에도 주문할게요,두마리 순살（후라이드＋양념）/1
90,맛있게 먹었습니다.,두마리 순살（양념＋간장）/1
91,간단하고 맛난 치킨 ^^ 더하고 덜함도 없이 깔끔했어요,순살반반치킨（후라이드반＋양념반）/1
92,튀김 바삭하고 생각보다 먹을만했어요 근데 배달 상자가 눅눅해서 위생적으로 보기좋진 않았네용..,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
93,역시 싼만큼 닭이 안좋네요.. 맛은있어요,두마리 순살（후라이드＋양념）/1
94,이거 치킨에 털?이 박혀있는데 이거 뭔가요 먹다가 확올라오네요 ㅎㅎ 동생이랑 오랜만에 치킨같이먹을려고 시켰는데 뭐죠 저 털은..ㅎㅎ,"순살반반치킨（후라이드반＋양념반）/1,사이다 1.25mL/1"
95,두번째 시켜먹어봤는데 음식은 기본이중요하다고 여기는 후라이드가 진짜 맛나네요 양념도 맛나긴한데 제입맛에는 좀 달더라구요 ㅠㅠ 담에는 간장한번 먹어보도록 하겟습니다 ㅎㅎ,순살반반치킨（후라이드반＋양념반）/1
96,양이 많네요 배달도 빨랐어요,두마리 순살（후라이드＋간장）/1
97,죄송합니다. 시켰는데 술처먹느랴고 받지도 못했습니다..... ㅠㅠ,두마리 순살（양념＋간장）/1
98,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,반반치킨（후라이드반＋양념반）/1
99,굿! 양도 많고 튀김도 바삭하고 전체적으로 맛있습니다!,"순살반반치킨（후라이드반＋양념반）/1,양념소스/1,콜라 1.25L/1"
100,새벽에 주문해서 배송요청사항에 절대 벨누르지말고 통화요청했는데 벨 눌러서 그냥 기분이 나빴어요 ;;,"두마리 순살（후라이드＋양념）/1,콜라 1.25L/1"
101,치킨 먹고 배아파서 설사했네요ㅠㅠ;;,두마리 순살（후라이드＋양념）/1
102,아아아아아아아아아아아아으으아아아아아앙 치르가즘하앙...♡,순살반반치킨（후라이드반＋양념반）/1
103,양도 많고 맛은 더 조우다 그래서 다시 재주문 합니다,두마리 순살（양념＋간장）/1
104,맛있습니다 양도 맛도 좋아요!,"두마리 순살（후라이드＋양념）/1,콜라 1.25L/1"
105,2마리 ㅋㅋ 양도많고 조우다 축구 경기 보다가 맛 죽인다 조우다 조우다,두마리 순살（양념＋간장）/1
