,리뷰,메뉴
57,역시 최고에요 ㅜㅜ 너무 맛있어요,"두마리순살세트（후라이드＋핫슈프림양념）/1,1.25L 변경/1"
58,핫도 달콤하네요 잘 먹었습니다,순살 핫슈프림양념치킨/1
59,예정시간보다 빨리 배달왔고 처음 시켜봤는데 맘에 들어서 재구매 의사 있어요!!,순살 핫슈프림양념치킨/1
60,말해서 무엇합니까,"반반（후라이드반＋핫슈프림양념반）/1,무 추가/1"
61,항상 처갓집 슈프림 양념은 옳은것같습니다 신촌 지점상당히 맛있습니다~~!!,순살 슈프림양념치킨/1
62,핫슈프림은 질리지도 않고 식어도 맛있어요!,"순살 핫슈프림양념치킨/1,무 추가/1"
63,핫슈프림 하얀 소스는 그렇다 쳐도 빨간 소스도 위에만 뿌려서 나오는건가요? 양념이 위에만 있고 아래는 하나도 없네요,"반반（후라이드반＋핫슈프림양념반）/1,겨자소스/1"
64,배송은 친절한데요 맛이 없어요 눅눅하고 너무 퍽퍽해요 소스맛으로 먹는 느낌,The.화이트치킨（슈프림）/1
65,배달 시간도 빠른 편이였고 요구사항도 잘 들어주심,"순살 슈프림양념치킨/1,처음처럼/2"
66,처갓집은 처음이라 반반 시켰는데 정말 너무 양이 적어서 놀랬네요.. 소스는 맛있어요,반반（후라이드반＋올리고당양념반）/1
67,치킨하면 처갓집이죠,반반（후라이드반＋슈프림양념반）/1
68,배달 빨라요 맛괜찮아요,반반（후라이드반＋올리고당양념반）/1
69,다른 점보다 양이 많고 밋있오요,슈프림 양념치킨/1
70,살이 진짜 거의없고 튀김옷만 먹은느낌이에요,"닭강정/1,두마리순살세트（후라이드＋슈프림양념）/1"
71,엄청빨리왔어요!!!,슈프림 양념치킨/1
72,소스 양도 많고 맛있었어요! 다음에도 또 시킬거예요,"슈프림 양념치킨/1,1.25L 변경/1"
73,배달빠르고 맛있어요 굿굿굿,
74,맛잇었어요ㅎㅎㅎㅎ역시,"와락간장치킨/1,두마리세트（후라이드＋슈프림양념）/1"
75,처갓집 치킨.. 저는 처음 먹어보는데.. 너무 맛있었어요..ㅎㅎ 이제 양념치킨은 처갓집에서!!!,"순살 슈프림양념치킨/1,순살 핫슈프림양념치킨/1"
76,처갓집은 실패하지 않습니다,두마리세트（핫슈프림양념＋핫슈프림양념）/1
77,맛있게 먹었습니다ㅅㅅ,슈프림 양념치킨/1
78,진짜 맛있고 사장님도 너무 친절하십니다,두마리순살세트（후라이드＋올리고당양념）/1
79,양념 맛있어용~ 따뜻하게 배달이 와서 좋았습니당,두마리세트（와락간장＋슈프림양념）/1
80,양념이 너무 모자라네요 평소보다 양념이 덜달고 신맛이 좀났습니다,순살 슈프림양념치킨/1
81,가격은 좀 쎄네요!,두마리순살세트（후라이드＋올리고당양념）/1
82,양도 많고 맛있어요 사진도 못찍었네요ㅠㅠ 역시 치킨은 처갓집이야,반반（올리고당양념반＋슈프림양념반）/1
83,맛있게 잘 먹었습니다!!!,슈프림 양념치킨/1
84,너무나배달도빠르고엄청나게좋습니다,
85,많이 먹기엔 좀 느끼했지만 튀김 바삭바삭하고 양념 맛이 좋았습니다!!,순살 슈프림양념치킨/1
86,맛있게 먹었습니다!,"두마리세트（후라이드＋올리고당양념）/1,1.25L 판매 /1"
87,양념은 처갓집입니다.(진지),반반（순살와락간장반＋순살슈프림양념반）/1
88,슈프림 ㅠ ㅠ 믿고 먹는 맛!,슈프림 양념치킨/1
89,홍은까지 배달와주셔서 너무 감사드리고 정말 잘 먹었습니다 자주자주 시켜먹고싶어요,순살 슈프림양념치킨/1
90,아니 배달 너무 늦게 오네 주문이 얼마나 밀린 거야,순살 반반치킨/1
91,배달원도 진짜 친절하시고 빨리왔습니다! 맛있구요 또 주문할께요!,슈프림 양념치킨/1
92,다음엔 순살을 시켜볼게요 잘먹었습니다,슈프림 양념치킨/1
93,오랜만에 먹으니 맛있어요!^^,슈프림 양념치킨/1
94,반반메뉴가있음 좋켔음. 한마리 다 슈프림이니 질림,슈프림 양념치킨/1
95,처음 먹어보는데 맛있어서 놀랬어요,"순살 치즈슈프림양념치킨/1,1.25L 변경/1"
96,슈프림 순살 넘 맛나요 소스도 많이 주셔서 좋아요,순살 슈프림양념치킨/1
97,두마린데 양이 너무 적어요 혼자 다 먹었어요,"두마리순살세트（슈프림양념＋레몬파닭）/1,사이다 1.25L 변경 /1"
98,맛있었어요!! 처음 먹어보는데 생각날것 같네요,순살 슈프림양념치킨/1
99,yhAaaaaaaaaaaa,순살 슈프림양념치킨/1
100,달달하니 너무 맛있어요~,순살 슈프림양념치킨/1
101,정말 맛있었습니당!,순살 슈프림양념치킨/1
102,그저존맛 사진찍을새도없이 다머금ㅜㅜ,순살 슈프림양념치킨/1
103,뭔가 이것도 저것도 다소 아쉬운 느낌.,두마리순살세트（와락간장＋슈프림양념）/1
104,맛있어요! 가격대비 양이많지는 않지만 갠차나요,두마리순살세트（올리고당양념＋슈프림양념）/1
105,꺄아악~~~ 처음 먹었는데 우리집으로 배달 되는것에 무한 감사합니다!! 진짜 너무너무 맛있어요~^^ 이제 치킨을 처갓!갓집이요,슈프림 양념치킨/1
106,처음먹어보는데 은근히 끌리네여,슈프림 양념치킨/1
107,주문시간: 11시34분 전화한시간 12시36분 주문이늦어서 확인전화를해보니 출발하셨다고 말씀하셨음 그런데 배달기사님에게 12시57분에 '이제' 출발한다고 전화옴 주문밀린거 이해하고 늦는거 이해할수있는데 80분은 너무하고 전화했을때 기사님 출발하셨다고 거짓말하신것때문에 먹기도 전에 기분이 너무 나빠서 후기남깁니다.,반반（순살후라이드반＋순살핫슈프림양념반）/1
108,순살처음이였는데 나쁘지않았지만 껍질과 틔김이조금? 많은느낌이라 다음부턴 뼈로먹을것같고 소스는 역시맛납니디,두마리순살세트（와락간장＋슈프림양념）/1
109,슈프림 처음시켜먹는데 맛이있네요 다음에 또시켜먹을께요~!!,슈프림골드 양념치킨/1
110,소스가 생명인데 너무 작게 주셔서 맛있게 먹지 못햇어요 고객요청사항에도 소스마니 넣어달라요청햇는데 왜 적게 넣어주셧나요ㅠㅠ,슈프림골드 양념치킨/1
111,"소스가 위에만 있고 아래는 너무 적었어요,,",순살 슈프림양념치킨/1
112,goooooooooooood,"순살 슈프림양념치킨/1,1.25L 판매 /1"
113,원래 홍대점 시켜먹는데 이왕 배달팁 안받길래 쿠폰행사까지 해서 신촌점 주문했습니다 우선 배달 60분 시간 거의 다지켜서 왔습니다 그리고 양..? 장난하세요 제가 1인1닭 못하는 사람인데 혼자 다먹었습니다 그리고 다른지점이랑 비교되고 소스뿌리다 말았나요? 그냥 후라이드를 파는게 나으실듯 여기 원래 떡 안주나바요??? 심지어 콜라 겁나 미지근하네요 괜히 배달비 아낄려고 딴지점 시켰는데 처음이자 마지막 주문일듯 수고하세요^^ 제가 말한 내용쫌 개선하세요 고객들 다 떠납니다.,순살 슈프림양념치킨/1
