,리뷰,메뉴
34,맛이야 익히 알고있는 맛있는 치킨인데 사장님이 정말 정말 친절하시네요 별 6개까지 가능하면 6개드렸을거에요 쪽지로 써서 보내도 괜찮았는데 전화까지 주셔서 상황 설명해주시네요 잘 먹었습니다-,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋매운간장))
35,배달도 빠르고 맛있습니다 특히 매운간장이 맛있습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
36,태풍인데 배달해주셔서 감사합니다! 배달도 빠르고 맛있었어요,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장),추가선택(달콤마요소스추가,양념컵추가))"
37,매운양념은 그리 맵지 않네요 스위트갈릭은 느끼했어요,"스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(매운양념),추가선택(무추가))"
38,양도 많고 맛있었습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
39,배송이 좀 느린거 빼고는 맛있게 잘 먹었습니다.,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
40,너므 맛있어요 가격대비 간장치킨 싹코팅된게 와우대박양념,뼈한마리/1(뼈 소스선택(간장))
41,잘먹었습니다! 매운간장은 제 입맛엔 좀 맵네요 흑흑,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
42,맛있게 잘먹었습니다,"불짬뽕뼈한마리 ＋ 뼈한마리（소스선택）/1(뼈 소스선택(불짬뽕),추가선택(무추가,콜라 사이즈업))"
43,맛있게 잘 먹었어요~,뼈한마리/1(뼈 소스선택(양념))
44,맛있어요 또 시킬께요,다리＋날개/1(다리＋날개 소스선택(간장))
45,호식이 안먹던 저를 감탄하게 만든 북가좌1호점 사장님 대단하세요. 이곳 매운간장의 바삭하면서도 쫄깃한 그 식감은 일품입니다. 손질을 잘하시는지 닭 잡내도 안나고 항상 손글씨 쪽지를 같이 동봉해주시네요. 정성이 듬뿍 담긴 것 같아 기분좋아요^^,뼈한마리/1(뼈 소스선택(매운간장))
46,저번 말복 주문 때 주문폭주로 텐더가 누락되었고 담 주문에 보내주신다고 하셨어요. 잊지 않고 보내주셔서 감사합니다! 언제나 그렇듯이 맛있게 먹고 있어요~,뼈한마리/1(뼈 소스선택(후라이드))
47,배달 빠르고 좋네요!,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
48,후라이드는 그닥이네요. 그리고 냉동닭을 쓰는지 뼈도 까맣고.. 그나마 스위트갈릭은 괜찮네요,스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(후라이드))
49,포송?포송 해서 맛있네요 굿 다음에 또 주문할게요,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋매운양념))
50,양도 적당하고 육질도 나쁘지않은데 튀김옷이 좀 심심하네요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
51,동네에서 치킨 시키는 가게가 딱 2곳 입니다. 그중 한곳인 호식이 북가좌 치킨을 자주시키는건 아니지만 그렇습니다. 닭도 크고 맛있고 좋습니다.,뼈한마리/1(뼈 소스선택(후라이드))
52,양도 많고 맛도 좋고 배달분도 친절하시고 모든게 다 만족스러워요~~ 매운간장맛 너무 맛있어요.,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
53,오늘 쿠폰 마지막날이라 늦을거라 예상하고 주문했는데 생각보다 빨리배달오고 매운양념 존맛탱!!!! 다들 두번먹으세요세번먹으세요,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(매운양념＋간장))
54,최고입니다!!!!!,뼈한마리/1(뼈 소스선택(매운간장))
55,역시 북가좌1호점입니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
56,사장님 훌륭한 사람~ 잘먹겠습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
57,사진처럼 넘 푸짐해요. 서비스 텐더는 매콤하고요^/^ 굿초이스였음.,뼈한마리/1(뼈 소스선택(후라이드))
58,항상 맛있게 먹고 있습니다! 다만 간장 양념이 너무 많이 발려있어 평소보다 짜네요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(매운양념＋매운간장))
59,"오~~~~~ 처음 먹은 메뉴인데 넘 맛있었어요. 매운간장은 먹을수록 감칠맛나서 짱!!! 아이들은 간장맛, 어른들은 매운간장맛. 역시 뼈한마리로 시키길 잘한듯 합니다.",스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(매운간장))
60,따뜻한 치킨 잘 먹었습니다,뼈한마리/1(뼈 소스선택(후라이드))
61,솔직히 호식이 만큼 혜자치킨 없음 ㅋㅋㅋㅋ,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(매운양념＋매운간장))
62,맛있어요!!!! 근데 시간이지나니까 확실히 눅눅해지는감이 없지않아 있네용 ㅠㅠ그래도 엄청 맛있게 먹었습니다 ! 양도많아서 좋았어요 ㅎㅎ,"순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋매운간장),추가선택(양념컵추가))"
63,맛은 뭐 말할것도 없구요 한마리인데 양이 엄청 많네요 서비스로 주신 텐더도 엄청 맛나요!,뼈한마리/1(뼈 소스선택(간장))
64,맛있어서 오늘 또 시킬까 고민중!,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
65,호식이는 언제봐도 양이 푸짐해서 좋아요 박스 받는 순간 느껴지는 중량감 아주 좋네요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋간장))
66,치킨 박스 열자마자 보이던 커다란 텐더 두개 잘 먹었습니다 후라이드랑 간장시켰는데 간장은 조금 뻑뻑해서 별 하나 뺐어요 ㅠ 그래도 치킨도 맛있게 먹었습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
67,주문 잘못 들어갔다고 친절하게 전화주시고 서비스도 주셔서 맛있게 잘 먹었습니다!,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장),추가선택(무추가))"
68,맛있었어요!! 리뷰 서비스로 텐더 받아먹었는데 그것도 너무 맛있는 것 같아요 소스도 풍부해서 좋았어요 맛있게 잘먹었습니다 살쨕 닭냄새가 아주 쬐금 있었어요 양이 너무 많아서 한마리는 내일 먹으려구요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운양념))
69,아 감사합니다 북가좌점 사랑해요 신촌점서 안먹습니다,뼈한마리/1(뼈 소스선택(후라이드))
70,역시 호식이입니다 옛날에 대학교때 먹던 그 맛을 느끼고싶어서 시켰는데 역시 맛있네요 돈없을때 많이시켜먹었었는데 ㅎㅎㅎ 강추합니닷,뼈한마리/1(뼈 소스선택(간장))
71,맛있어요 치즈볼 쫀득쫀득 식감이 장난아니에요,"다리＋날개/1(다리＋날개 소스선택(간장),추가선택(트리플치즈볼))"
72,치즈볼 완맛탱 텐더는사랑이쥬,"순살치킨/1(순살 소스선택(양념),추가선택(무추가,트리플치즈볼))"
73,넘 맛있게 먹고있어요 담 에도 잘부탁드려요~^^,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋후라이드),추가선택(무추가))"
74,원래 호식이는 간장+매운간장이 진리이나 오늘은 스윗갈릭이 땡겨 스윗갈릭을 시켰습니다. 보통적인 배달시간이 소요 됐으며 배달하시는 분이 친절히 인사 해 주셨습니다. 간혹 간장 양념을 대충 묻어 오는 경우가 있는데 북가좌1호점은 적당히 잘 묻어 있습니다. 호식이는 양념 종특으로 일반 양념 소스들이 다 묽어서 튀김옷이 눅눅해 집니다. 혹시 눅눅한걸 싫어 하며 위 조합을 추천드립니다. 호식이 양념류 치킨들은 원래 다 눅눅합니다. 암튼 결론은 맛있게 잘 먹었습니다.,"스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(간장),추가선택(달콤마요소스추가,스프라이트 사이즈업))"
75,"항상 먹기만하다가 이제서야 리뷰를 쓰네요ㅎㅎㅎ 호식이 두마리 치킨은 정말 가게마다 케바케가 조금 있는 치킨이라는 걸 많이 느끼는데... 이 곳은 정말 그중에서 아주 믿을만한 곳입니다. 사장님이 치킨을 잘 튀겨주시는 것도 물론이거니와, 맛도 양도 모두 최고인거 같습니다. 매우 강추합니다!!!!!",뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(간장＋매운간장))
76,맛있고 배달두빠르고 자주시켜먹네요^^,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장),추가선택(달콤마요소스추가))"
77,너무맛있게잘먹었어용,"순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋양념),추가선택(트리플치즈볼)),참이슬 후레쉬/1,생맥주 1000cc/1"
78,맨날 여기서 시켜먹어요. 양도 많고 맛있어요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
79,역쉬 매운간장은 최고입니당~~신사점만 시켜먹었는대 요기두 맛나네요 종종 이용할께요~~^^,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
80,양념이 너무 한강입니다 조금만 발라주셔도 될듯.. 반면 매운 간장소스는 창열입니다 양념은 창열 매운간장은 혜자였으면 좋겠어요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장))
81,맛있게 잘 먹었습니다^^,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(매운양념＋간장))
82,배달도 예상보다 10분이나 일찍오고 역시 맛있네요. 전 튀김옷이 담백한 호식이가 좋아요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
83,그저께 시켜먹었는데 배달 30분만에 와서 깜짝 놀랐어요ㅋㅋ 역시 호식이답게 치킨 받자마자 묵직함을 느꼈고 텐더도 질긴감 전혀없이 부드러웠습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
84,너무 눅눅해요.... 호시기먹고 실망한건 처음이예요ㅜㅜ 맛이 없는건 아닌데 너무 눅눅하네요,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋매운양념))
85,한달에 한번 정도 시켜먹는데 항상 맛있고 빠르게 가져다 주셔서 감사합니다~ 서비스로 주신 텐더 저번보다 훨씬 맛있어지고 가족들이랑 잘 먹었습니다 ~,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋매운양념))
86,리뷰른너무늦게썻네요 갓식이두마리치킨 믿고시킵니다,뼈한마리/1(뼈 소스선택(양념))
87,세번째입니다.^^ 엄청 맜있어요 !!! 너무 먹고싶어 주문하였습니다. 따뜻하고 정말 맛있게 먹었습니다. 감사합니다.,"안심텐더 ＋ 안심텐더/1(텐더 소스선택＋텐더 소스선택(후라이드（텐더）＋양념（텐더）),추가선택(콜라 사이즈업))"
88,바삭하고 기름이 깔끔합니다. 맛은 당연히 잇구요,뼈한마리/1(뼈 소스선택(후라이드))
89,장 먹었습니다 감사합니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장))
90,항상 좋아요！응원할게요～,안심텐더 ＋ 안심텐더/1(텐더 소스선택＋텐더 소스선택(후라이드（텐더）＋후라이드（텐더）))
