,리뷰,메뉴
241,부담이 없고 맛이 좋습니다 특히 감자가 맛있습니다,"스윗텐더/1(추가메뉴(뿌링뿌링소스)),달콤바삭치즈볼/2"
242,믿고 시키세요 맛있어요,뿌링클（제）/1
243,역시 치킨은 bhc 맛은 맵스터,맛초킹（한마리）/1
244,새로운 메뉴를 주문했는데 아주 맛이 좋아요,"스윗텐더/1(추가메뉴(뿌링뿌링소스)),달콤바삭치즈볼/1,콜라1.25L¸/1"
245,우리집 꼬맹이들이 너무 사랑하는 뿌링클^^,순살뿌링클/1
246,오래 걸리지도 안으면서 왜 배달예상시간을 55분 눌르는지 모르겠네요. 치킨은 맛있었고 양도 넉넉했어요! 다음엔 배달예상시간 정확히 눌러주세요,뿌링클（제）/1
247,맛나용 또시켜먹으러구용,"뿌링클（제）/1,달콤바삭치즈볼/1,콜라1.25L¸/1"
248,너무 맛있게 잘 먹었습니다.,"순살뿌링클/1,달콤바삭치즈볼/1,콜라1.25L¸/1"
249,그냥보통이에요~~~~,"뿌링클（제）/1,해바라기후라이드치킨（제）/1"
250,음식이 좀 식은 상태로 도착했더군요. 치킨은 뜨거워야 제맛인데...,순살핫소이바베큐/1
251,짭쪼름한게 맛있어요 ^^,소이바베큐/1(추가메뉴(치킨무))
252,맛있게 잘 먹었습니다ㅎㅎ,뿌링클（제）/1
253,맛있뎌요맛있져어어어,"순살소이바베큐/1,달콤바삭치즈볼/1"
254,정말 맛있게 먹었습니다,해바라기후라이드치킨（제）/1
255,짱짱짱짱짱짱짱짱짱짱,순살뿌링클/1(추가메뉴(치킨무))
256,맛있게 잘 먹었어요,"순살뿌링클/1,콜라1.25L¸/1"
257,매번 시켜먹었는데 오늘은 조금 닭이 안신선하구 튀김도 별로였어요,해바라기후라이드치킨（제）/1
258,치킨배달이라 맛있어요 ㅎ 배달이 조금 느려요,"뿌링클（제）/1,달콤바삭치즈볼/1"
259,첨먹어봤는데 맛있었어용,순살맛초킹/1
260,맛있는데 배달 속도가 약간 느려요,
261,배달은 빨랐습니다,"뿌링콜팝/1,달콤바삭치즈볼/3"
262,배달이 좀 느리네요ㅠㅠ,맛초킹（한마리）/1
263,순살맛초킹은 진리 배달도 빠르고 맛있게 매워요,"순살맛초킹/1,미니콜팝/1,생맥주1000cc/1"
264,맛있고 배달빨라서 좋아요 만족합니다ㅎㅎ,"커리퀸/1,달콤바삭치즈볼/1,뿌링뿌링소스/1"
265,배달시간. 맛 훌륭합니다.,
266,다른 지점보다 양념도 찐하고 고추도 많이 들어있고 먹을때마다 만족하면서 먹고 있어요^^,맛초킹（한마리）/1
267,배달시간이 예정보다 빠르고 기름이 많지않아 좋아요,해바라기후라이드치킨（제）/1
268,담부터 뼈는 안시키는걸로.. 커리 가루가많기도하구 몸통 뼈많은곳도많구 제취향은 아니네요..,"커리퀸/1,콜라1.25L¸/1,커리딥소스/1"
269,그럭저럭 맛있게 먹었습니당,"해바라기후라이드치킨（제）/1,달콤바삭치즈볼/1,양념소스/2"
270,맛 배달 양 만족스럽습니다,뿌링클다리（제）/1
271,맛나네요~~~~~~,"해바라기후라이드치킨（제）/1,달콤바삭치즈볼/1"
272,맛있어요 그리고 좋아요,"해바라기후라이드치킨（제）/1,머스타드소스/1,커리딥소스/1"
273,저번에 뿌링클 먹을만해서 오늘갈비래오를 시켜 봤더니 역대급으로 최악이네요 포장 여는순간 허여멀건하고 닭이 뿔어보이고 맛없어보이길래 먹어봣더니 역시나 최악이네요 처음먹어보지만 원래 갈비래오가 이럴꺼같지는 않은데 여기선 다신 먹고싶지 않네요,뿌링클（제）/1
274,뼈없어서 먹기 편합니다. 좀 더 달아도 맛있을 것 같네요,"순살스윗츄/1,뿌링치즈스틱/1"
275,좋아여 할인받아 먹으니 더 맛나요,뿌링클（제）/1
276,전 개인적으로 맛쵸킹이 젤 맛나네요.,"소이바베큐/1,케이준프라이/1"
277,배달 진짜 빨랐고 치킨이랑 치즈볼도 너무 맛있었습니다,
278,맛초킹 짱 강추합니다,순살맛초킹/1
279,저번에 쫀맛이라 월드컵 보면서 먹으려고 주문했는데 고기가 덜 익었어여... 대실망,맛초킹（한마리）/1
280,새로운 메뉴!! 생각보다 맛이 진하다보니 좀 질리는 듯.. 살짝 매콤한 맛도 있네요~,소이바베큐/1
281,양도 진짜 적고 배달도 진짜 느리네요 ㅡ ㅡ 배달 1시간 30분이나 걸렸네요,맛초킹（한마리）/1
282,달달~~맛나게 잘먹었씀돠~,뿌링클/1
283,맛초킹 단짠의 조화가 🤭👍🏻 존맛,맛초킹（한마리）/1
284,잘먹었습니다!!!!,해바라기후라이드치킨（제）/1
285,잘먹었습니다!!!!,뿌링클/1
286,맛있게 잘먹었어요.,치레카/1
287,먹다가 급하게 찍었네요 튀김도 그렇고 맛있었어요 할인쿠폰있어서 나름 저렴하게 시켰는데 집앞이라 픽업할까했는데 당연스레 배송비 받게 설정되어있어 아쉬웠어요,"해바라기후라이드치킨（제）/1,뿌링치즈스틱/1"
288,소이바베큐 처음먹었는데 맛있었어요 근데 왜 콜라 안주신거죠.... 콜라도 없고 연근도 말라 비틀어진 상태라서 좀 그랬어요,소이바베큐/1
289,그냥 후라이드보다 마싯슴,치바고（제）/1
290,배달이 느리네요...1시간 기다려 받앗네요 ㅠ 하지만 이 시간 기다리고 먹은 치킨 맛은 꿀맛이네요!! 맛은 정말 좋아요!!,해바라기후라이드치킨（제）/1
291,맛있게 잘 먹고있어요 고생하세요.,순살핫소이바베큐/1
292,항상여기서시켜요맛나요,양념소스/1
293,처음 시켜본 맛초킹인데 요리 같은 느낌이 나서 좋아요~~,"맛초킹（한마리）/1,해바라기후라이드치킨（제）/1,콜라1.25L¸/1"
294,맛있고 배달도 빨라요,소이바베큐/1
295,배달시간이 늦군요!,"맛초킹（한마리）/1,순살뿌링클/1,콜라1.25L¸/1"
296,맛있었어요!! 아이가 뿌링클 먹고싶어 해서 시켰는데 맛있더라구요,뿌링클/1
297,신메뉴라 기대했는데 기존 간장치킨하고 다른 점을 잘 모르겠어여. 연근이랑 고구마 들어간 게 다른 건가 싶은 ㅋㅋ,소이바베큐/1
298,조금 눅눅했어요 ㅠㅠ,뿌링클/1
299,닭기름이없어서 아이들 먹이기 좋아요,순살치레카/1
300,늘 아이들이 좋아하네요,순살맛초킹/1
