,리뷰,메뉴
467,맛은 최곤데 배달 오다가 피자치즈가 한쪽으로 쏠려서 도우 손잡는데 까지 나와 버렸습니다. 배달 주의 좀 부탁 드립니다.,"치즈 피자 M/1(M사이즈 추가선택(치즈크러스트 추가,치즈추가,씬도우 추가))"
468,훈제치킨은 그저그런데 피자가 맛있어용 굿,
469,맛있어,
470,스파게티 존맛.............,"치즈 피자 M/1,치즈오븐스파게티/1"
471,맛있어요~,"SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(페파로니피자L),L 추가 선택(치즈크러스트 추가))"
472,피자전체맛은좋아요 다좋았는데 저콜라안먹는데 콜라가왓네요 다음엔더신경써주세요,
473,피자 짱 맛남 ^^,
474,이렇게 형편없고 빈약한 피자는 제평생 처음입니다 [명품임실치즈피자-신촌점] 고객님이 주문 하신 고르곤졸라피자는 씬도우로만 제공돼서 피자 두께가 원래 얇습니다. 고르곤졸라에는 고른곤크림.아몬드.마늘.파인애플. 고르곤크럼블(고르곤졸라치즈)이 토핑되고 있습니다.,
475,真的好吃,
476,이욜 역시 우수 음식점이라~ 생각했어요ㅎㅎ 맛있게 잘먹었고 배달도 빠르고 라이더님 친절했어욥!,치즈 피자 M/1(M사이즈 추가선택(치즈크러스트 추가))
477,진짜 맛있어ㅛ어요,
478,만족스러웠어요~,"포테이토 피자 L/1,사이다 1.25L/1"
479,맛있어요,"SET A（명품오리지널피자L＋훈제치킨＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),L사이즈 추가선택(토핑추가))"
480,맛있게 잘 받았습니다 감사합니다,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈크러스트 추가,치즈추가,토핑추가))"
481,멀어만 해요 배달 빠릅니다,
482,다먹음 ㅋ,
483,!!!,
484,맛나요,"대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(스위트고구마 피자L)),버팔로윙 10개/1"
485,소스랑 하나씩 서비스로 들어와서 좋은뎅 피클이랑 콜라가 없어서 아쉬웠습니다 ㅠㅠ 그리고 고구마 피자가 무스 아니라 엄청 안타까웠지만 짜지읂게 먹었어요 맛난요 ㅎㅅㅎ 사진은 저희집 고양이 자랑할려고요 귀엽쮸 ? [명품임실치즈피자-신촌점] 소스는 피클 한개 갈릭소스 한개 치즈가루 한개 핫소스 한개가 기본적으로 세팅이 되고 있어 빠질 수가 없습니다. 그리고 음료수는 별도 주문입니다. 저희는 고구마 무스를 8줄 뿌려드리고 그 위에 고구마 조각도 올려드립니다. 뭔가 착오가 있었던 것 같네요.,"스위트고구마 피자 L/1,치즈가루 1개/1,갈릭디핑소스/3"
486,배달은 빨랐는데.. 피자에서 동물뼈 같은게 나왔네요... 첫 주문인데 또 시켜먹지는 않을거같아요ㅠ [명품임실치즈피자-신촌점] 죄송합니다 고객님 고기에 포함되어 있는 드셔도 무방한 물렁뼈입니다.,
487,윙은 맛은있는데 좀 짰어요. 피자는 애가 많이좋아했네여.,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),버팔로윙 10개/1"
488,배달이 넘 늦어서 피자랑 스파게티가 식어서 ㅜ좀 아쉬웠어요 ㅠㅠ 그래도 맛있게먹었어요,
489,맛있습니다.,
490,임실치즈피자 첨먹어봤는데 담백하구 너무맛잇어요 도우가쫄깃해요,
491,배달 굿 서비스 굿 맛 ㅇㅋ,포테이토 피자 M/1
492,맛잇게 잘 먹었어요!! (허니치즈 맛있음),
493,나쁘지 않았어요.,
494,친절하고 배달빨라요,"포테이토 피자 M/1(M사이즈 추가선택(치즈추가)),콜라 500mL/1"
495,치즈듬뿍에 감자 완젼맛있어요 새벽에시켰는데 완젼빨리오고,허니버터 포테이토 피자 L/1
496,치즈크러스트부분이 쪼금 딱딱했는데 전체적으론 맛있었어요!!,"포테이토 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),사이다 500mL/1"
497,전에 한번 시켜먹어봤는데 괜찮길래 또 시켰어요ㅋㅋ 맛있어요 ㅋㅋ,불고기 피자 L/1
498,평이 좋아서 시켰는데 버팔로윙은 닭냄새나고 페페로니 피자는 밀가루가 너무 많아서 치즈맛 페페로니 햄맛이 제대로 안느껴져요 페페로니는 비추입니다,"페파로니 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),버팔로윙 5개/1"
499,20분만에 왔구요. 맛은 쏘쏘입니다:),
500,"식어도 맛있던데 추"","""","","","",추천",대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(치즈 피자L))
501,새벽두시에 시켰는데 배달도 빠르고 토핑도많이넣어주시고 핫소스 추가해달랬더니 3개나 주셨네요ㅋ,핫치킨 피자 L/1
502,포테이토 덕후라서 시켜먹는데 아 여기 포테이토 저 완전 반했어요 피자왔을때 너무 뜨거워서 바로 먹으니까 존맛 맛있게 잘 먹었습니다~ 배달하시는분도 친절하시고 이제 피자는 여기로 시켜먹을게요~,포테이토 피자 L/1
