,리뷰,메뉴
38,배달도 예정시간 안에 맞게 도착했고 맛있게 잘먹었습니다~~ 사진이 먹다 찍어서 그렇긴 하지만.. 닭똥집 튀김도 괜찮고 버거도 맛있었어요!,"NEW 타워버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),트위스터세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 핫치즈징거버거/1,닭똥집튀김/1"
39,괜찮은데 튀김이 안좋은거 같아요 배달도 느리고,"NEW 징거더블다운맥스세트/1(사이드변경(후렌치후라이（L）교환),음료변경(코크제로교환)),블랙라벨클래식버거단품/1,닭똥집튀김/1"
40,바삭함을 살려주셧습니다,핫크리스피치킨 1조각/5
41,굿굿굿굿굿굿굿굿굿,"Best 버거팩/1,콘타르트/1"
42,예상시간보다 빨리와서 좋았아요 조각도 큼직한걸로 주셔서 잘먹었습니다,"핫크리스피치킨 1조각/3,비스켓/2,버터/2"
43,타워버거는 진리!!!,Best 버거팩/1
44,맛있러요!!!!!!,"New 치킨도버거도팩/1,닭똥집튀김/1"
45,맛 있어요~~~~~~.배달도 빠름,New 패밀리팩/1
46,간민에 kfc치킨이 먹고 싶어서 첨으로 배달시켰는데 박스에 양념이 다 묻은채로 온데다가 치킨은 다 식고 눅눅해서 돈이 아깝네요..다신 안시킬듯..ㅜㅜ,"핫칠리씨치킨팩/1,Best 디저트팩/1,텐더스트립스 4조각/1,올쉐킷치즈/1"
47,이번에는 조금 느끼했어요...,"핫크리스피치킨 6조각/1,환타오렌지/1"
48,음식 맛이 좀 짰어요,New 패밀리팩/1
49,배달 깔끔하게 잘 와서 좋아요. 잘 먹었습니다~^^,"블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,올쉐킷치즈/1,롱치즈스틱/1,비스켓/1"
50,친구 둘이랑 보드카마시다가 치킨이 급땡겨서 시켰는데 맛있습니다!!,오리지널치킨 1조각/5
51,명절이라 그런지 꽉채워 한시간 걸렸네요. 다리가 너무 없고 ㅠ 양념은 너무 불어있어요 후기별 후한편인데 오늘은 조금 뺍니다..,"갓양념치킨 1조각/2,핫크리스피치킨 1조각/3"
52,빠르고 맛있어요~~,"Best 디저트팩/1,오리지널타워버거 세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라)),NEW 징거버거/1"
53,잘 먹었습니다.,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2"
54,집앞에 kfc가 생겨서 행복합니다. 밤 9시만되면 kfc,블랙라벨치킨 1조각/5
55,배달빨라요 치킨은 편차가 있어요,"오리지널치킨 1조각/3,올쉐킷치즈/1,콘샐러드/1"
56,맛있게 잘 먹었습니다,Best 치킨팩/1
57,배달이 예상보다 일찍왔어요! 맛도 평소먹는거대로 맛있었어요!!,Best 버거팩/1
58,.,"오리지널타워버거/1,치킨불고기버거/1,닭똥집튀김/1"
59,맛있어요!!!!!!!!!!!!!!!!!!!!!!!!!,"NEW 징거버거세트/2(사이드변경(후렌치후라이),음료변경(콜라))"
60,햄버거는 항상 여기서,"블랙라벨클래식버거단품/1,NEW 징거버거/1,코울슬로/2"
61,맛있습니다 ㅎㅎ 자주 시켜요,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,블랙라벨 에그타워버거세트/1"
62,양도 은근 많구 맛도 있어용 ~~~~,Best 버거팩/1
63,비가와서 그런지 너무 늦게 왔어요,Best 버거팩/1
64,배달도 빠르고 잘먹었어요,"New 치킨도버거도팩/1,핫크리스피치킨 1조각/2"
65,맛있게 잘먹었습니다 배송도 빨라요,"블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
66,맛있었어요 블랙라벨 최고,"블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2,오리지널치킨 1조각/1,스위트칠리소스/2"
67,핫윙 맛있어요~~~~,"오리지널치킨 1조각/1,핫윙박스 10조각/1,환타오렌지/1"
68,다음에 또 시킬것 같아요,"핫칠리씨치킨1조각/1,갓양념치킨 1조각/1,핫크리스피치킨 1조각/2,코울슬로/1,콘샐러드/1"
69,잘먹고갑니대ㅓㅓㅓㅓㅓㆍ,"갓양념치킨 1조각/2,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/1,스위트칠리소스/1"
70,비오는 날이라 조금 늦었지만 괜찮아요 다만 환타 시켰는데 콜라주는건... 쫌..,"핫크리스피치킨 1조각/1,핫윙박스 10조각/1,환타오렌지/1"
71,예상시간보다 빨리왔어요,"핫크리스피치킨 1조각/9,코울슬로/2"
72,배달 빠르고 맛있어요,"오리지널치킨 4조각/1,후렌치후라이（L）/1,스위트칠리소스/1,스프라이트/1"
73,버거는 맛있엇는데 날씨때문인건지 오늘 감자튀김이랑 치킨 상태가 영 아니네요 크리스피 두조각시켯는데 한조각은 시꺼멓게 완전 눅눅해져서 오고 다른 한조각은 까맣지않지만 조금 눅눅해져서 왔네요 꺼먼거부터 꺼내서 걍 모르고먹었지만 맛있게 먹은것보다 그냥 배만 채운느낌이네요,"핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,블랙라벨 에그타워버거세트/1,트위스터세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라))"
74,ㅐㅢㅕㅓㆍ거ㅢㅓㅢㅓㅙㅓ,핫크리스피치킨 1조각/6
75,저지금 막 먹는데 여기는 왜시킬때마다 닭 상태가 다른가요? 이런대형업체에서는 늘똑같은 맛을 기대하고 시키는데 기대한시간보단 사십분안으로 너무빨리 왔는데 문제는 닭 상태 네요 너무별로에요 닭 다리 조차 뻑뻑한거 조금심하네요 환불전화하고싶어요,오리지널치킨 1조각/6
76,비오는 날인데도 따뜻한 배달 굿,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,스위트칠리소스/2"
77,아주조음 치킨 나이트,"블랙라벨치킨 1조각/4,스위트칠리소스/2,코크제로/1"
78,배달도 빠르고 치킨도 맛있어요오,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2,코울슬로/1"
79,배달이긴 하지만 맛있어요!,"블랙라벨치킨 4조각/1,오리지널타워버거 세트/1(사이드변경(통오징어바이트 5조각교환),음료변경(코크제로교환))"
80,떡볶이에 닭고기 두조각 빼고 떡만 옴 양념 껍데기 반정도 벗겨진채로 옴,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/1,치킨불고기버거/1,텐더떡볶이/1,코카콜라¸/1"
81,다 좋은데 음식이 전부 식어서 왔어요ㅠㅠ,"트리플리치오리지널버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 타워버거/1,비스켓/1"
82,다른지점에 비해 별로 인거 같음.,"오리지널치킨 6조각/1,NEW 징거버거/1,비스켓/1,콘샐러드/1,올쉐킷치즈시즈닝/1"
83,이이이이이이이이잉 기모륑,"오리지널타워버거 세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
84,이이이이이이이이잉 기모링,New 패밀리팩/1
