,리뷰,메뉴
51,인생치킨!!치킨은 페리카나가 답이다,반반치킨/1
52,3번째 시켜먹는데.. 이번엔 배달도 1시간지나서 전화하니까오고.. 와서는 일요일이었는데..오다 딱지뗐다고 하고.. 치킨상자는 찌그러져있고... 뭐 여까지는 다 그러려니 할수있는데... 가장중요한치킨이 남은거 재탕해서 튀긴것마냥 마르고 살도없고 질기고... 해서 거짐다버렸네요... 지난번엔 괜찮았는데... 앞으로도 이렇게올까봐 또시키기가 찝찝하네요..,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
53,맛있어요 순살인데 부드럽고 맛나요,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
54,티비에 광고 자주 나오길래 누꼬 시켜봤어요 ㅎㅎ 카레맛이고 양많고 배달도 빨랏어요,누꼬/1
55,페리카나는 좀 식어야 더 맛나는거같아용,반반치킨/1
56,"먹다가 너무 화가 나서 리뷰 씁니다. 맨 처음 사진은 요기요 할인 행사가 없는 날에 시킨겁니다. 그거랑 비교해서 오늘 온 치킨은 메추리를 튀겼나봅니다. 정말 이러실거면 왜 할인이벤트에 참여를 하시나 모르겠습니다. 더러 시켜먹던 곳이었고, 마침 오늘 할인하는 날이길래 시켰더니 완전 기분 상했습니다.",두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
57,양념통닭이 맛있어요 맵지않아서 아이듵 먹기에도 좋아요~,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
58,맛있었어요 배달도빨랐습니다,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
59,맛있게 잘 먹었어요.,반반치킨/1
60,1000원비쌈....,반반치킨/1
61,오랜만에 페리카나잘먹었어유,반반치킨/1
62,ㅉㅈㅈㅈㅈㅈㅈ ᆢᆢᆢᆢ,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
63,음... 밤에 배달와서 벨을 누르면 될 것을 건물에 다른 사람들 자고 있는 것은 생각도 안하고 큰소리로 부르는 개똥같는 매너는 어디서 배운 건지.,순살 양념/1(콜라 변경(콜라 1.25L 로 변경))
64,쏘쏘~양이나 맛은 알고잇는만큼 그만큼임,순살 후라이드/1(콜라 변경(콜라 1.25L 로 변경))
65,닭 색이 거뭇거뭇하고 신선도가 떨어졌어요. 요청사항 안들어준것도 별로였어요,양념치킨/1
66,콜라가 안왔지만 빠른대책 도 좋구 맛도 좋구,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
67,콜라시켰는데 안오고 다시 가져다주는것도 아니고 다음에시킬때 콜라 두개가져다드린다고 하질않나 천원계좌로받고 그냥 끝내기로했어요 기분 정말불쾌하네요,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
68,최고입니다!! 강추!!!,순살 양념/1(콜라 변경(콜라 1.25L 로 변경))
69,맛 있게 잘 먹었습니다,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
70,ㄱㅅㅂㅅㅈㅇㅅㄷㄴㅅㅇㅈㅅㅂㄴㅈ,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
71,배달시간도 늦음 콜라도 큰거 시켰지만 작은거 옴,양념치킨/1(콜라 변경(콜라 1.25L 로 변경))
72,맛은있는데 요번음식상태가 배달때매그런건지 한쪽으로 완전히 쏠려서 소스가 아주범벅이되버렸네요 다음엔 잘부탁합니다.,순살 양념/1
73,너무 맛있게 잘 먹었습니다,반반치킨/1
74,맛있게 잘먹었어요,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
75,반반 시켜먹었는데 맛있었어요,반반치킨/1
76,매우맛있음 치밥굳 완전좋음,순살 양념/1
77,가끔 먹는데 맛있어요,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
78,양념은 페리카나 미만잡,반반치킨/1
79,매번 맛있게먹고있어요,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
80,매우 맛있습니자 십자,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
81,잘먹었습니다 또시킬게용,양념치킨/1
82,맛있어요! 뭐 배달1시간 안에 오는걸로 알고 시켰는데 기름을 새것으로 교환하느라 늦을 거 같다고 먼저 연락주셔서 좋았습니다 맛있었고 따끈따끈 하여 만족스러웠습니다 다만 닭에 기름이(지방이) 제거되지 않아 아쉬웠습니다,양념치킨/1
83,"맛나요, 양념통닭이 맛남, ㅋㅋㅋㅋㅋㅋ",양념치킨/1
84,맛있게 잘먹었아요~,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
85,늘 맛있게 먹습니다. 감사합니다.,순살 양념/1
86,맛나게 잘먹었습니다,양념치킨/1(콜라 변경(콜라 1.25L 로 변경))
87,잘 먹었습니다. 감사합니다.,순살 양념/1
88,양념맛있어요 요즘 왜 다들 양이 줄은거같죠?ㅜ,반반치킨/1
89,이렇게뜨거운치킨처음먹어봐요 양념후라이드 둘다간이세긴하지만 진짜맛있어요 개인적으로양념을더좋아하긴하지만 여긴후라이드가완전맛있어요인생후라이드치킨만났어요 ㅋ ㅋ ㅋ 애기낮잠시간에 남편이랑1인1닭했네요 맛있게잘먹었습니다 애기잘때빨리먹어야해서 사진을못찍었어요ㅠ,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
90,맛있게 먹었습니다~~~,두마리치킨1세트（후라이드＋후라이드＋콜라 1.25L）/1
91,양념은 페리카나죠ㅎㅎ,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
92,아주 좋아요.. 치킨은 역시 페리카나 입니다.,반반치킨/1
93,맛은그냥그런데빨리옴,페리윙 양념/1
94,오랜만에 먹는데 배달도 빠르고 맛잇어서,반반치킨/1
95,맛있게 잘 먹었습니다,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
96,"맛있게 잘먹었어요,,,",후라이드치킨/1
97,매운양념 맛있어요 배달시간은 주문후 35-40분정도 걸린듯,매운양념치킨/1
98,간장맛이써염 비엄청올때 시켜서 죄송했는데 잘갖다주셔서 감사용~,반반치킨/1
99,양념은 페리카나에요~ 제가 실수 했는데도 사장님이 친절하게 수습해 주셔서 맛있게먹었습니다,양념치킨/1
100,페리카나 역시 맛있습니다. 양념 최고,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
101,낮시간이라 망설였는데 빠른배송,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
102,빨간맛 궁금해 허니 점점 더 빠져든 핫데블치킨 맛!,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
103,오전에 시켜서인지 치킨이 너무 딱딱했어요,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
