	리뷰	메뉴
44	리뷰 다 뒤져보고 비교해서 주문했는데 배달왓을땐 친절하거나 그러진않고 무뚝뚝하셨지만 맛은 너무너무 좋았습니다 그래서 오늘 또시킬꺼임	순살2마리（후라이드＋양념）/1
45	바삭하고 양념도 맛나요.	순살2마리（후라이드＋양념）/1
46	배달시간도 나름빠르고 맛도 괜찮네요 자주 시킬거같아요 잘먹을게요~	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(간장반))
47	맛있게 잘 먹었습니다	순살3마리（후라이드＋양념＋간장）/1
48	무맛 좋아요ㄷㅅㄹㄱㄴㅈㅇ	"순살2마리（후라이드＋양념）/1,치킨무/1"
49	맛있어요	순살2마리（후라이드＋후라이드）/1
50	맛있고 양도 괜찮아요 ㅎ	순살2마리（양념＋간장）/1
51	"먹은지는 좀 지났는데 요기요가 터져 접속이 안돼서 리뷰가 좀 늦었네요. 양, 배달은 진짜 만족 그 자체. 맛도 좋슴다. 맛있게 잘 먹었어요! 양이 많아서 아마 낼 아침까지 먹어야겠슴다"	"순살2마리（후라이드＋양념）/1,콜라 1.25L/1"
52	배달빠르고 맛있었는데 양이 이사오기 전에 시켰던것 보단 조금 적어서 아쉬웠네요..	순살반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
53	맛있더라구여여용짱입니다요	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
54	양도많고맛도있습니다	순살3마리（후라이드＋양념＋간장）/1
55	전체적으로 퍽퍽함.. 육즙은 찾아볼 수 없음.. 질김...	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(간장반))
56	간장소스는 너무 짜구 치킨은 맛이 그닥... 이네요	순살2마리（양념＋간장）/1
57	이때 비가와서 배송은 좀 늦었지만 양많고 맜있어요!	순살2마리（양념＋간장）/1
58	맛있어요	순살3마리（후라이드＋양념＋간장）/1
59	항상 맛있습니다~~	순살2마리（양념＋간장）/1
60	그냥 가성비 갑이에요. 최고입니다. 또 구매할게요~	순살3마리（후라이드＋양념＋간장）/1
61	양도 많고 맛도 조우다 잘먹겠습니다 감사♡	순살3마리（후라이드＋양념＋간장）/1
62	새벽이나 아침 시간대 시키기 쵝오! 솔직히 낮이나.저녁에.시켜도 다른 프렌차이즈보다 크게 딸리지않네요 맛 양!쵝오!	순살2마리（후라이드＋후라이드）/1
63	맛이 없는건 둘째치고 기름냄새가 너무 심하다 5조각 먹고 다 버렸음 배달이 빠른것도 아니고 60분 꽉채워서 배달온다	순살2마리（후라이드＋양념）/1
64	"양이 많으며, 다양한 맛을 즐길수 있어 선택장애있는 사람은 좋을수도..."	순살3마리（후라이드＋양념＋간장）/1
65	너무맛이좋앗으먀 꿀맛입니다	순살2마리（후라이드＋양념）/1
66	"가격이 저렴 하면서도 맛나네요!치킨을 좋아 하는편이라 맛 비교해보니 맛이 있습니다 기름도 신선한거 같고, 다만 배달이 오래걸려서! 맛있게 잘 먹겠습니다 고맙습니다"	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(간장반))
67	간장은 취향 많이 탈거같습니다ㅡ 양은 많아요 후라이드ㅜ양념 괜찮아요 간장은......	순살3마리（후라이드＋양념＋간장）/1
68	약간 느끼한데 저는 맛있었고 와이프는 느끼하대요. 닭 좋아하시는 분들에겐 맛있어요	순살반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
69	양 많고 배달 빠른 편이었어요	순살2마리（양념＋간장）/1
70	맛있게 먹었는데 약간 양이 부족한 느낌을 받았다 그래도 맛낫음!	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
71	전체적으로짜요 치킨이	순살3마리（후라이드＋양념＋간장）/1
72	양은 많은데 생각보다 맛이 별로였어요. 짜기도했어요	순살2마리（양념＋간장）/1
73	닭냄새나요 ㅠㅠ 배달도 예정시간보다 넘 늦구... 살도 안통통하구	순살2마리（후라이드＋양념）/1
74	양은 정말 많습니다	순살3마리（후라이드＋양념＋간장）/1
75	리뷰보고 믿고 시켰는데 역시 리뷰도 믿을게 못되네요 치킨 오는 시간은 1시간 반이 걸리고 먹자마자 완전 소금소스로 오고 말씀 드릴려고 전화를 하니 직원이신지 알바생인지 정말 불친절 하며 사과는 커녕 사과를 요구하니 아네 죄송합니다 이게 사과입니까? 엎드려 절받기네요 사장님 마져도 친절은 커녕 불친절 그 이상이네요 고객상대하는 서비스면 친절부터 다시 생각해주세요	순살2마리（양념＋간장）/1
76	잘먹었습니다앙!!!!	순살3마리（후라이드＋양념＋간장）/1
77	.배달도빠르고..양도많고 괜찬네요	순살3마리（후라이드＋양념＋간장）/1
78	양도 많구 맛도 좋습니다! 새벽 시간에 시켰는데 가성시 아주 좋네요!	순살2마리（후라이드＋후라이드）/1
79	튀김옷가득...양념 다샘...주륵...	순살2마리（양념＋간장）/1
