,리뷰,메뉴
19,배달 빨라요. 하와이안 맛 취향저격입니다,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(하와이언),사이드 메뉴 선택(통다리핫바베큐치킨（다리만 6조각）),음료 선택(칠성사이다 L),테두리 변경 추가 선택(추가 안함))"
20,너무 맛있게 잘먹었습니다 ㅋㅋ,"하프 앤 하프 피자 M/1(피자 선택(하와이언,매콤불고기),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
21,드디어 찾았다 자주 시켜먹어도 되는 집,"하프 앤 하프 피자 L/1(피자 선택(페퍼로니,콤비네이션),테두리 변경 추가 선택(치즈크러스트 추가),세트 변경 추가 선택(추가 안함))"
22,피자 토핑 듬뿍하고 배달도 정말 빨랐어요!!!!굳굳,"베이컨 체다치즈/1(사이즈 선택(M（2~3인）),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
23,일단 보온포장해주셔서 오자마자 열었더니 김이 모락모락 기본인 피자는 이루말할것 없이 맛나고 사이드로 온 핫윙도 따뜻하고 맛나게 잘 먹었습니다 쵝오!!!!,"1.인기세트/1(사이즈 선택(L（3~4인）),피자 선택(포테이토),사이드 메뉴 선택(핫윙&봉（10조각）),음료 선택(스프라이트 L),테두리 변경 추가 선택(리치골드（고구마＋체다） 추가),토핑 추가 선택(블랙올리브 20ea 추가),소스 추가 선택(갈릭디핑소스 4개 추가))"
24,하와이언에 파인애플 미쳤네요 도우 담백하니 넘맛있구요 재료를 안아낌,"하프 앤 하프 피자 M/1(피자 선택(페퍼로니,하와이언),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
25,불고기 고기가 너무 질기고 도우가 별로에요 맛이없어요...,"하프 앤 하프 피자 L/1(피자 선택(페퍼로니,수제불고기),테두리 변경 추가 선택(치즈크러스트 추가),세트 변경 추가 선택(추가 안함))"
26,불고기 피자 맛있어요! 크림치즈볼 감사해요. 크림치즈볼도 진짜 맛있었어요!,"수제불고기/1(사이즈 선택(M（2~3인）),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
27,😁😁😁😁😁,"하프 앤 하프 피자 M/1(피자 선택(페퍼로니,소세지킹),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
28,피자는 콤비 시켰는데 딱 생각하는 그맛에 맛있습니다. 치즈오븐스파게티는 처음 먹었을때 신맛이 나서 놀랐습니다 먹다보니 괜찮아 졌는데 살짝 토마토 페이스트 맛이라.해야하나.. 그거빼고는 다 만족합니다,"콤비네이션/1(사이즈 선택(M（2~3인）),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(치즈오븐스파게티＋콜라L 추가))"
29,허버허버먹다가 사진은 못찍음,"하와이언 /1(사이즈 선택(L（3~4인）),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(베이컨크림 스파게티＋콜라L 추가),소스 추가 선택(수제렌치소스 2개 추가)),수제렌치소스/2"
30,이동네 피자 맛집 가성비 으뜸 토핑도 으뜸,"하프 앤 하프 피자 L/1(피자 선택(페퍼로니,순수고구마),테두리 변경 추가 선택(크림치즈크러스트 추가),세트 변경 추가 선택(추가 안함),소스 추가 선택(수제피클 1개 추가)),갈릭디핑소스 2개/1"
