,리뷰,메뉴
47,할인이벤트 기간이라 오래걸릴거 각오하고 주문했는데 예상시간 40분으로 찍혔고 비슷하게 맞춰오셨어요. 치킨도 뜨끈뜨끈하게 왔고 넘 맛있어요! 특히 양념 왜케 맛있죠?ㅎㅎ 콜라도 큰거 주셔서 더 좋네요. 멕시카나는 역시 은평점이 짱이에요!,멕시윙반반（후라이드＋양념）/1
48,바삭바삭 맛잇어요 콜라도 큰거 주셔서 감사합니다 많이 파세요👍🏻👍🏻👍🏻,"후라이드치킨/1,체다치즈볼/1"
49,음...지점별로 다르겠지만 요번엔 좀별로였습니다.,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
50,치킨은 맛있게 잘 먹었습니다...만 저녁거리를 시켰는데 야식이 되서 도착했네요 ㅎ 행사기간이고 바쁘신 건 감안해도 90분 찍힌 180분이 다 되서야 오셨네요 ㅠ 그래도 바쁘실텐데 전화드릴때마다 친절히 응대해쥬신 점 감사드립니다,"반반치킨/1(반반 선택(양념치킨 반,치토스치킨 반))"
51,저희가 자주 시켜 먹는 곳인데 예전에도 콜라가 김이 다 빠진 콜라가 온 적이 있엇는데 그때는 집에 있는 음료로 귀찮아서 아쉬운데로 먹엇는데 이번에도 콜라가 김이 다 빠진 콜라가 왓네요 집에 음료도 없어서 콜라도 없이 치킨만 먹었습니다 업체에 연락해서 1시간 정도 지나고 나서야 콜라를 받앗는데 이미 치킨 다 먹고 난 상황이였네요 콜라 용량 자체도 가득 안 채워있어서 좀 의아해서 받자마자 사진 찍어 났는데 두번째 온 콜라 역시 용량은 첫번째 온 콜라랑 같네요 콜라 때문에 좀 아쉬웠습니다,"투마리세트/1(치킨선택 1(치토스치킨),치킨선택 2(땡초치킨),추가메뉴(멕시감자))"
52,와... 2시간30분기다려서 받은 치킨이라.. 앞으로 이벤트할때 못먹을거같아요. 점심먹고 후식먹고 저녁먹을거 주문해야겠네요.. 전화도 뺑뺑이돌리고 후... 치토스치킨이 과자맛너무많이나고 짜서 제타입이아니었엉6 양념은 맛있었습니당,"반반치킨/1(반반 선택(양념치킨 반,치토스치킨 반),추가메뉴(무추가))"
53,배달이 정말 너무너무 늦었습니다. 2시간 40분 걸렸어요,순살양념치킨/1
54,맛 : 멕시카나 양 : 멕시카나 배달 : 예상 배달시간 90분 총 배달시간 120분 배달시간 때문에 걸린 암을 허경영님을 통해 치유받았습니다,"순살반반/1(순살반반 선택(순살양념치킨 반,순살골드（간장） 반)),멕시감자/1"
55,7시44분에 주문해서 10시28분에 왔네여..... 다음부턴 정확한 시간을 기재 해주세요. 그래야 다른곳에서 시키죠.,강정치킨（뼈）/1(추가메뉴(멕시감자))
56,7시 반쯤 주문했는데 3시간 걸렸어요. 그래도 다 식어서 오진 않고 따듯해서 맛은 별 5개 드렸어요. 콜라 감사합니다.,후라이드치킨/1(추가메뉴(시즈닝 3종세트))
57,"두시간 넘어서 받았습니다. 한개는 주문한 메뉴랑 다른 맛이 왔구요. 제대로 안 튀겨져서인지 살이 안 익은게 있었습니다. 배달 받고 상자를 봤는데 습기 때문인지, 물에 맞은건지 상자가 흐물흐물 했습니다.. 저녁시간에 주문한게 야식이 됐네요.","투마리세트/1(치킨선택 1(매운양념치킨),치킨선택 2(파닭),추가메뉴(무추가))"
58,곧 2시간 돌파 예정입니다 음식은 안오고 배에서는 꼬르륵 전화는 돌리시네요,양념치킨/1
59,오늘은 1시간 50분 걸렸네요..ㅠ 요기요 에선 50분 걸린다 했는데.. 크흡..ㅠ 그래도 맛도 있고 배달 해주신분도 친절해서 별테러는 안합니당 ㅎ 잘먹었습니다.,치토스치킨/1
60,제가 매번 리뷰쓸 때마다 마약드립 치는데 이제 좀 자제할게요....치토스 마약이네요 ㅎ,치토스치킨/1(추가메뉴(멕시감자))
61,치킨맛있어요! 다음달9일까지 콜라사이즈업도해주세요 :),순살후라이드치킨/1
62,맛있어요 매번 맛있어요,오징어짬뽕치킨/1
63,배달오자마자 흡입해서 치킨은 뼈만 남았네요 ㅎㅎ 배달원분도 친절하시고 치킨도 맛있고 행복한 금요일 보냈습니다,땡초치킨/1
64,넘 맛있게먹어서 사진도 못찍고 다 먹어버렸네요ㅠ 대박짱맛 다른데랑 비교가 안됩니다 치킨은 무조건 여기로 굿굿,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(파닭))"
65,좀 늦은시간 주문이였는데 배달도 엄청 빨랐고 이벤트중인지 콜라도 큰거 주셨어요 강정치킨 처음인데 생각보다 너무 맛있었고 치킨이 엄청 뜨겁게와서 좋았어요 맛있게 잘먹었습니다~~!,강정치킨（뼈）/1
66,치토스치킨 역시 맛있습니다. 펩시이벤트 하는 줄 모르고 추가 주문해서 콜라2병 받았네요~ 배달도 빠르고 친절하세요~ 잘먹었습니다,치토스치킨/1(추가메뉴(콜라추가1.25L))
67,잘먹엇습니다.....,멕시윙반반（후라이드＋양념）/1
68,매우 마시쩌용♡♡♡ 리뷰 먹튀 안하고 약속대로 남김,순살후라이드치킨/1
69,치토스 치킨 소스 너무 맛있네요,"반반치킨/1(반반 선택(골드（간장） 반,치토스치킨 반))"
70,말이 필요 없습니다.,순살치토스치킨/1
71,맛있게 먹었습니다,오징어짬뽕치킨/1
72,맛 좋고 양도좋아요 배달이 조금 많이 늦어져 아쉽네요,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(파닭))"
73,맛있게잘먹었습니다 다음에도 또먹을게요,"반반치킨/1(반반 선택(후라이드 반,골드（간장） 반))"
74,배달도 빠르게 오시구 치킨도 넘넘 맛있었습니다~~,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(파닭))"
75,오랫만에 멕시카나 시켜봤는데 맛있게 잘먹었습니다,"반반치킨/1(반반 선택(후라이드 반,골드（간장） 반),추가메뉴(무추가))"
76,맛있게 잘먹었습니다.,강정치킨（뼈）/1
77,양념이 맛있었습니다. 배달은 2시간 넘어서 받았네요,양념치킨/1
78,배달이 너무늦지만 맛은 좋아요,"반반치킨/1(반반 선택(후라이드 반,골드（간장） 반))"
79,이벤트 콜라랑 너무 맛있게 매워요. 잘먹었습니다. 어머니가 대만족,순살땡초치킨/1
80,오랜만에 멕시카나 시켜 먹었는데 뻑뻑한 살이 너무 많았어요,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
81,굿굿굿굿 여자친구가 좋아해요,순살눈꽃치즈치킨/1
82,맛은 좋았는데 양이 저번보다 적었어요 튀김만 많고ㅠ,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
83,맛도 좋고 양도 많은데 배달이 느리네요,"순살세트/1(순살선택 1(순살양념치킨),순살선택 2(순살눈꽃치즈치킨))"
84,맛있고 친절함니다 또 이용할예정이에요,"반반치킨/1(반반 선택(양념치킨 반,허니벌꿀 반))"
85,치토스치토스 3번째먹고있다,치토스치킨/1
86,배달시간이 2시간이 넘었어요ㅋㅋㅋㅋ 어쩔수없죠ㅋㅋ맛은 있는데 오짬치킨에 오징어튀김이 약간 덜 익었어요ㅋㅋ,"반반치킨/1(반반 선택(양념치킨 반,오짬치킨 반))"
87,후라이드반 매운양념반 시켜먹었는데 엄청 바삭하고 맛있었어요!!!ㅎㅎㅎ 강추입니당,"반반치킨/1(반반 선택(후라이드 반,매운양념 반))"
88,맛있어요 감사합니다,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(파닭))"
89,항상 시켜먹는데 맛있습니다,"투마리세트/1(치킨선택 1(파닭),치킨선택 2(눈꽃치즈치킨))"
90,복날인데도 생각보다 일찍왔어요! 맥시카나는 역시나 양념이죠 치토스는 맥주안주로 딱이었어요,"반반치킨/1(반반 선택(양념치킨 반,치토스치킨 반))"
91,너무 늦게 배달해주시고 맛도 그닥,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
92,멕시카나 양념은 언제나 맛있어요. 오늘은 바쁘셔서 그런지 많이 식어서 ㅠ.ㅠ,양념치킨/1
93,"배달이 정말 너무하네요. 후라이드반 양념반 주문 했는데 양념이 다새서 비닐봉지 및 후라이드에도 다 묻어져있고 번져있고, 치킨은 한쪽으로 다 쏠려있었습니다. 비도 오지않은 날씨임에도 불구하고 배달해주시는 분의 태도 역시 엉망이었네요. 항상 자주 시켜먹었는데, 이런 부분은 잘 보완해주시면 좋겠습니다.","반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
94,맛있게 먹었어요~~~!!,강정치킨（뼈）/1
95,맛있게 잘먹었습니다.,땡초치킨/1
96,행사날 배달 늦는건 어쩔수 없고 맛있게 잘먹었습니다. 가루토핑잇는거는 이벤트 있을땐 피해야겠네요 눅눅해져셔 왔네요,"치토스치킨/1,생맥주 1000cc/1"
97,프로모션중이라 바쁘실텐데도 친절히 전화도 주시고 소요시간 보내주신것에 맞게 음식도 도착했습니다. 다만 치즈가루는적은데 비해 짭짤했어요. 다음번엔 치즈가루마니 닭은 덜짜게 부탁드려요,순살눈꽃치즈치킨/1
98,"배달 진짜 용인할 수 있는 시간 이상이네요 프로모션인거 감안해서 고지시간 하고도 20분 이상 기다렸고, 그래도 안오길래 전화햇더니 배달하시는 분 10분 후에 온다고 오면 바로 배달해준다네요? 그러고도 20분 후에 음식 받앗어요 총 두시간 넘게 걸렸네요 배달비 받으면서 책임감도 없는거같고, 온 음식은 눅져서 몇일 된줄알았네요? 기존 주문이 감당안되면 주문창이라도 막아두시지 한마디로 최악이었어요",치토스치킨/1
99,맛있어요. 잘먹었어요~^^,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반))"
