,리뷰,메뉴
265,맛. 있. 다~,"트위스터/1,너겟 6조각/1,에그타르트/1,후렌치후라이/1,콘샐러드/1"
266,마시써요!!!!!!,"블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/2,NEW 타워버거/1"
267,맛있게 잘 먹었습니다,"갓양념치킨 1조각/3,핫크리스피치킨 1조각/2"
268,검증된 케이에프씨 야간에 한 조각 더 좋아요,"왕갈비 오븐치킨 1조각/2,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1"
269,닭을 엄청 오래 전에 튀긴걸 갖고온건지 아니면 배달을 엄청 오래걸린건지 닭은 눅눅하고 식어있는데다가 콜라는 김이 빠져있음 (배달이라 어느 정도 빠진다는건 감안해도 정도가 심함) 배달 자체도 한시간이 걸렸는데 밤 열두시에 주문이 밀려서 그런건지.... 홍대라 그럴 수도 있겠지만 치킨의 상태로 봐선 밀린 주문을 처리하고 바로 튀겼다곤 도저히 볼 수가 없을 것 같습니다. 정말 먹어본 KFC 치킨중에 최악이었습니다,"블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2,코크제로/1"
270,맛있게 잘먹었어요,"핫윙 8조각/1,코울슬로/1,페트콜라（500ml）/1"
271,맛있어요... 뜨겁고 배달도 빠르고 좋습니다,"갓양념치킨 1조각/2,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/4,스위트칠리소스/4,페트콜라（500ml）/2"
272,치킨은 kfc!!,"왕갈비 오븐치킨 1조각/1,갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1"
273,그냥 뭐 밤에 시키는데 뭘 바래용.. 크리스피 4조각에 오리지날 1조각인데 다 오리지날같은 눅눅함... 퍽퍽살 이빠이 배달은 빨랐습니다 ^^,"핫크리스피치킨 4조각/1,오리지널치킨 1조각/1,비스켓/1"
274,왜 에그타르트는 교통사고를 당한거죠? 배달기사님은 멀쩡하시던데,"베스트디저트팩/1,블랙라벨치킨 1조각/3,콘타르트/1"
275,맛좋고 다그런데 배달이 1시간넘음..ㄷㄷ,"갓양념치킨 1조각/1,오리지널치킨 1조각/1,NEW 핫치즈징거버거세트/1(사이드변경(코울슬로교환),음료변경(콜라))"
276,오라지널치킨1+1인데 안 줬습니다,"오리지널치킨 1조각/3,텐더스트립스 2조각/1,올쉐킷치즈/1,에그타르트/1"
277,맛있어요 통오징어는 좀 느끼해욥,"핫크리스피치킨 1조각/1,핫윙 4조각/1,통오징어바이트 10조각/1,캔콜라/1"
278,"........,..","갓양념치킨 1조각/1,핫크리스피치킨 1조각/2,NEW 타워버거/1"
279,아주잘먹었어요맛있게ㅋㅋ,"갓양념치킨 1조각/2,핫크리스피치킨 4조각/1,오리지널치킨 1조각/1,트위스터세트/1(사이드변경(에그타르트교환),음료변경(콜라)),너겟 10조각/1,스프라이트/1"
280,구수가하하하하하하하하하하,New 타워앤징거팩/1
281,맛있음ㄹ하핳ㅎㅎㅎㅎㅎ,New 타워앤징거팩/1
282,맛있게 잘 먹었습니다. 감사합니다.,"핫크리스피치킨 1조각/2,트위스터/1,비스켓/1,페트콜라（500ml）/1"
283,맛 좋음 양 좋음 배달 빠름,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/1"
