,리뷰,메뉴
53,간만에 지코바 먹는데 너무 맛있네요 ㅎㅎ,"뼈 양념치킨（보통맛）/1,떡 추가/1"
54,성산 지코바 맛도 양도 너무 훌륭합니다,순살양념（보통맛）/1
55,맛은 정말 최고ㅎㅎ,순살양념（보통맛）/1
56,맛나게 잘먹었어용ㅎㅎ,"순살양념（순한맛）/1,떡 추가/1"
57,지코바 말로만듣다 첨먹어봄요..다먹어서사진못찍..ㅠ,
58,맛있어요 치밥용으로최고,순살양념（보통맛）/1
59,이집 예전부터 자주 이용했는데 진짜 맛있어요... 일단 소스도 넉넉히주시고 매번 떡추가해서 먹는데 떡도 낭낭 완전 강추에여ㅠㅠ,"순살양념（순한맛）/1,떡 추가/1"
60,맛있게 잘 먹었습니다. 평소보다 좀더 매웠어요.,뼈 양념치킨（매운맛）/1
61,순한맛 시켜야하는데 매운맛으로 잘못시켜서 ㅜㅜ 매워죽을뻔했어요.. 매운거 좋아하는 친구도 맵다고 같이 쿨피스 드링킹하고.. 맛은 있네요 ㅠ 다음엔 순한맛으로 시킬게요..,"순살양념（매운맛）/1,떡 추가/1"
62,닭이 평소보다 너무 큰데 양념은 밍밍하네요ㅠㅠ 아쉬움,"양념치킨（보통맛）/1,떡 추가/1"
63,먹다가 찍었는데 맛있네요 양념도 적당하니 있고 매콤하니 맛있네요 배달시간도 정확하고 추천합니다,양념치킨（보통맛）/1
64,오늘도 역시맛있어요!^^ 잘먹겠습니다,순살양념（매운맛）/1
65,취준 길엇는데 동네 사무실 구직햇어여 ㅋ 막 대기업 이런건 아니지만 기분 와방 좋아서 시켜머것어여 ㅋ 존맛!!!!!,양념치킨（보통맛）/1
66,잘먹었습니다~~^^^,
67,지코바는 성산잠이조!!!,
68,너무맛있었어요 감사합니다,
69,Jmt jmt jmt,순살양념（순한맛）/1
70,너무 맛있게 잘 먹었어요 :D,
71,배달빠르고 맛있어요 매운거잘먹는편인데 많이매웟어요ㅠ 다음엔 보통맛으로 먹어보려고요!,"순살양념（매운맛）/1,떡 추가/1,콜라 1.25L/1"
72,배달도 빠르고 맛있습니다,
73,그 옛날 먹던 지코바 맛이 왜 안날까 전체적으로 너무 퍽퍽하구요,
74,항상 먹어도 맛있는 지코바 (가끔 더 빨리 오시곤합니다.),지코바 순살 양념치킨/1(맛 선택(보통맛))
75,꾸덕꾸덕한게 내취향이야,지코바 순살 양념치킨/1(맛 선택(순한맛))
76,오랜만에 지코바 먹었는데 역시나 맛있습니다 ㅎㅎㅎ 잘먹었어요,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 1.25L로 변경)),햇반（즉석밥）/1"
77,와 지코바 말만 들어봤지 처음 먹어봤는데 ㅠ 완전 맛있고 양도 많고 저 원래 치킨을 왜 밥이랑 먹나 하는 사람이었는데 밥이랑 짱 잘어울리고 배달도 예상시간보다 훨씬 빨리 와주시고 삼박자 완벽하게 맞는곳이에요 여러분 걍 드세요 ㅎㅎㅎ 다이어트해야하는데 한동안 생각날듯 ㅎㅎㅎ,"지코바 순살 양념치킨/1(맛 선택(보통맛)),햇반（즉석밥）/1"
78,맛있게 잘 먹었습니다.,지코바 순살 양념치킨/1(맛 선택(순한맛))
79,괜찮아요괜찮아요괜찮아요,"지코바 뼈 양념치킨/1(맛 선택(보통맛),추가 메뉴(떡 추가))"
80,배달도 친절하시고 맛있어요!!,"지코바 순살 양념치킨/1(맛 선택(보통맛)),햇반（즉석밥）/1"
81,치밥하는데 좋았어요,지코바 순살 양념치킨/1(맛 선택(순한맛))
82,일인일닭 이지만 영은 적지만 그래도 최적화된 맛있는 닭입니다,지코바 뼈 소금구이치킨/1
83,맛있었어여! 역시 양념치킨~~,"지코바 뼈 양념치킨/1(맛 선택(순한맛)),햇반（즉석밥）/1"
84,양도 좋고 맛도 좋고!,지코바 순살 양념치킨/1(맛 선택(보통맛))
85,배달 1시간 걸렸어요. ㅜ 그래도 잘먹었어요,지코바 순살 양념치킨/1(맛 선택(순한맛))
86,맛있어요~~ 양도 푸짐해요,지코바 순살 양념치킨/1(맛 선택(순한맛))
87,흔한 치킨먹다 먹으니 새로운 맛이었다고 느껴졌네요,"지코바 순살 양념치킨/1(맛 선택(보통맛),추가 메뉴(콜라 500ml 추가))"
88,항상 먹던 곳인데 어플 갈아타면서 새로 남기네요 성산점이 짱입니다,"지코바 순살 양념치킨/1(맛 선택(매운맛),추가 메뉴(떡 추가)),참이슬후레쉬/1,카스 병맥주/1"
