,리뷰,메뉴
24,흑미 피자였어요. 간은 보통 피자 느낌. 늦은밤에 시켜먹기 나쁘지 않았어요.,"명품 반반피자 M/1(반반 피자 선택(슈퍼슈프림피자,스위트고구마피자),반반 도우 선택 M(추가 안함)),콜라 500mL/1"
25,피자가 이렇게 왔네요. 정말 실망이 크네요.,페퍼로니 피자 L/1(도우 선택 L(추가 안함))
26,잘 먹고 있습니다.,"갈릭스테이크 피자 L/1(도우 선택 L(골드（스트링치즈, 고구마무스,체다치즈）추가),토핑 추가 선택 L(베이컨 8개 추가))"
27,맛있어여.서비스좀주세여,"불고기 피자 L/1(도우 선택 L(치즈크러스트 추가)),버팔로윙 10개/1"
28,어머니가 시키라고 해서 또시킴,슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함))
29,엄니가 당뇨이신데도 맛있다고 드셔요,슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함))
30,페퍼로니피자가 먹고싶어서 주문했는데 콤비네이션이 왔어요....시간도 늦고 그냥 먹긴 하는데 주문 신경 싸주세요,"싱글세트（오리지널크러스트M＋치즈오븐스파게티＋콜라 500mL）/1(오리지널크러스트 선택(페퍼로니 피자),도우 선택(추가 안함))"
31,도우 과자같음.. 얇은거 시키긴 했는데 그건 그렇다 치고.. 토핑이나 소스도 굉장히.. 얇다는 느낌..,슈퍼슈프림 피자 L/1(도우 선택 L(씬도우 추가))
32,피자는 괜찮았는데 감자튀김이 왜 이렇게 양이 적고 눅눅하죠?..,"명품 반반피자 M/1(반반 피자 선택(슈퍼슈프림피자,포테이토피자),반반 도우 선택 M(추가 안함)),감자튀김/1,콜라 1.25L/1"
33,잘 먹었습니다 ㅎㅎ,"슈퍼슈프림 피자 M/1(도우 선택 M(추가 안함)),불고기 피자 L/1(도우 선택 L(추가 안함)),핫치킨 피자 L/1(도우 선택 L(추가 안함)),핫소스 1개/13"
34,맛있고 빠르고 다해요♥,"치즈스틱 5개/1,치즈오븐스파게티/1,버팔로윙 5개/1"
35,소금에 피자를 뿌려주네요. 세조각먹고 나가리....,"베이컨포테이토골드 피자 M/1(도우 선택 M(추가 안함),토핑 추가 선택 M(포크불고기 50g 추가))"
36,맛있어용!!!!!!!,"슈퍼슈프림 피자 M/1(도우 선택 M(치즈크러스트 추가),토핑 추가 선택 M(포크불고기 50g 추가))"
37,잘먹었습니다 잘먹었습니다,"미트소스스파게티/1,버팔로윙 5개/1"
38,굳............,"슈퍼슈프림 피자 M/1(도우 선택 M(추가 안함)),치즈오븐스파게티/1"
39,빠른배송너무감사합니다,"명품 반반피자 L/1(반반 피자 선택(슈퍼슈프림피자,페퍼로니피자),반반 도우 선택 L(씬도우 추가))"
40,빠른배송너무감사합니다,슈퍼슈프림 피자 L/1(도우 선택 L(씬도우 추가))
41,빠른배송너무감사합니다,슈퍼슈프림 피자 L/1(도우 선택 L(씬도우 추가))
42,역시 고구마 피자는 옳다,스위트고구마 피자 M/1(도우 선택 M(추가 안함))
43,언제나 잘 먹고 있어용,"치킨바베큐 피자 L/1(도우 선택 L(추가 안함),토핑 추가 선택 L(블랙 올리브20개 추가))"
44,사정상 다 식은뒤에 먹었는데도 맛있네요~,"슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함)),치즈오븐스파게티/1,갈릭디핑소스/1"
45,포테이토 가격이 올라서 슬프지만 무스가 있어서 맛있고 치즈도 많고 좋아요 이거먹고나선 가격차이가 나도 피X스쿨은 못먹..,포테이토 피자M/1
46,맛있어서자주먹어용ㅅㅅ,"야채 피자 M/1(도우 선택 M(추가 안함)),콜라 500mL/1"
